@relation bodyhub_sensors_rt

@attribute 'Sensor remetente' {Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19}
@attribute ' Estado do Paciente' {bom}
@attribute ' Enviado as (s)' numeric
@attribute ' Processado as (s)' numeric
@attribute ' Diff (s)' numeric
@attribute 'Numero de sensores' {five,ten,twenty}
@attribute 'Real-time Mode' {'Real-time ON'}
@attribute 'Cycle Time Constraint' {SATISFIED,VIOLATED}
@attribute 'Emergency Detection Time Constraint' {SATISFIED}

@data
Sensor1,bom,4.63533,4.83044,0.1951,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,5.63528,5.83042,0.19514,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,6.63515,6.83034,0.19519,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,7.6352,7.83032,0.19513,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,8.63525,8.83034,0.19509,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,9.63535,9.83045,0.1951,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,10.6353,10.8304,0.19509,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,11.6351,11.8304,0.19532,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,12.6361,12.8304,0.19428,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,13.6361,13.8305,0.19434,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,14.6361,14.8304,0.19432,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,15.6439,15.8304,0.18648,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,16.6362,16.8304,0.1942,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,17696,17.8978,0.20171,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,18.7761,18.9966,0.22044,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,19.9305,20.1681,0.2376,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,21.1393,21.3773,0.23798,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,22.3528,22593,0.24026,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,23565,23.8032,0.23817,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,24776,25.0138,0.23783,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,25.9914,26.2296,0.23817,twenty,'Real-time ON',VIOLATED,SATISFIED
Sensor1,bom,27.1998,27.4389,0.23913,twenty,'Real-time ON',VIOLATED,SATISFIED
