Tempo(s), Risco do Sensor, Nivel da Bateria,Delta de Bateria, Diff(s)
970,moderado,-1318.68,0.08,0.57996
970,baixo,-1318.76,4.28,0.04823
973,moderado,-1323.04,0.08,2.93579
973,baixo,-1323.12,3.79,0.04764
976,moderado,-1326.91,0.22,2.59634
976,baixo,-1327.13,3.86,0.14797
979,alto,-1330.99,0.29,2.64012
979,moderado,-1331.28,0.08,0.19194
979,baixo,-1331.36,0.43,0.04773
979,moderado,-1331.79,0.08,0.29234
979,baixo,-1331.87,1.13,0.04806
980,moderado,-1333,0.15,0.77155
980,alto,-1333.15,0.22,0.09681
980,moderado,-1333.37,0.71,0.14349
981,alto,-1334.08,0.29,0.48409
981,moderado,-1334.37,0.43,0.19599
981.07,alto,-1334.8,0.15,0.29209
981,moderado,-1334.95,0.08,0.0971
981,alto,-1335.03,0.43,0.05099
982,moderado,-1335.46,0.08,0.29574
982,alto,-1335.54,0.15,0.04792
982,moderado,-1335.69,0.29,0.09754
982,baixo,-1335.98,1.48,0.19862
983,alto,-1337.46,0.29,1.01596
983,moderado,-1337.75,0.08,0.19601
983,alto,-1337.83,1.2,0.04799
984,moderado,-1339.03,0.15,0.81991
984,alto,-1339.18,0.08,0.09699
984,moderado,-1339.26,0.29,0.04707
984,baixo,-1339.55,3.37,0.1921
987,alto,-1342.92,1.97,2.30817
988,moderado,-1344.89,0.22,1.3478
988,baixo,-1345.11,0.64,0.14755
989,alto,-1345.75,3.79,0.43193
991,moderado,-1349.54,0.15,2.59246
991,baixo,-1349.69,0.71,0.09742
992,alto,-1350.4,0.08,0.48674
992,moderado,-1350.48,0.22,0.04733
992,baixo,-1350.7,1.06,0.14438
993,moderado,-1351.76,0.08,0.72379
992.65,baixo,-1351.84,0.85,0.04848
993,moderado,-1352.69,0.22,0.57545
993,baixo,-1352.91,2.18,0.14824
995,alto,-1355.09,0.36,1.48825
995,moderado,-1355.45,0.08,0.24321
995,baixo,-1355.53,1.34,0.04807
996,moderado,-1356.87,0.08,0.91617
996,alto,-1356.95,0.57,0.04839
997,moderado,-1357.52,0.22,0.38816
997,baixo,-1357.74,3.44,0.14742
999,alto,-1361.18,1.06,2.35652
1.000,moderado,-1362.24,0.15,0.7281
1.000,alto,-1362.39,0.57,0.09598
1000.22,baixo,-1362.96,1.41,0.38367
1001.18,moderado,-1364.37,0.15,0.96431
1001.28,baixo,-1364.52,1.13,0.09663
1002.04,alto,-1365.65,0.29,0.76677
1002.24,moderado,-1365.94,0.08,0.19222
1002.29,baixo,-1366.02,5.82,0.04804
1006.27,moderado,-1371.84,0.15,3.98838
1006.37,baixo,-1371.99,4.63,0.09678
1009.54,moderado,-1376.62,0.08,3.17082
1009.59,alto,-1376.7,1.55,0.04774
1010.65,moderado,-1378.25,0.29,1.06446
1010.85,baixo,-1378.54,3.37,0.19607
1013.16,alto,-1381.91,0.15,2.3081
1013.25,moderado,-1382.06,0.64,0.09708
1013.69,baixo,-1382.7,1.06,0.43833
1014.42,alto,-1383.76,0.22,0.72418
1014.57,moderado,-1383.98,0.08,0.14807
1014.61,baixo,-1384.06,0.71,0.048
1015.1,alto,-1384.77,0.08,0.48424
1015.14,moderado,-1384.85,0.08,0.04737
1015.19,baixo,-1384.93,10.58,0.04963
1022.44,moderado,-1395.51,0.08,7.25022
1022.49,baixo,-1395.59,0.64,0.04834
1022.93,alto,-1396.23,1.2,0.43622
1023.75,moderado,-1397.43,0.22,0.82026
1023.9,alto,-1397.65,0.22,0.14811
1024.04,moderado,-1397.87,0.15,0.14398
1024.14,baixo,-1398.02,0.5,0.09725
1024.48,moderado,-1398.52,0.08,0.3381
1024.53,baixo,-1398.6,5.33,0.04857
1028.18,moderado,-1403.93,0.29,3.65201
1028.37,baixo,-1404.22,2.53,0.19601
1030.11,alto,-1406.75,0.43,1.73177
1030.4,moderado,-1407.18,0.08,0.29212
1030.44,baixo,-1407.26,1.76,0.04759
1031.65,moderado,-1409.02,0.15,1.20866
1031.75,baixo,-1409.17,0.36,0.09728
1032,moderado,-1409.53,0.22,0.2462
1032.14,alto,-1409.75,0.57,0.14773
1032.53,moderado,-1410.32,0.08,0.38462
1032.58,baixo,-1410.4,5.47,0.04759
1036.33,alto,-1415.87,1.76,3.74821
1037.53,moderado,-1417.63,0.08,1.20015
1037.57,baixo,-1417.71,0.36,0.04802
1037.82,alto,-1418.07,0.29,0.24407
1038.01,moderado,-1418.36,0.08,0.19166
1038.06,baixo,-1418.44,1.97,0.04817
1039.41,moderado,-1420.41,0.08,1.34817
1039.45,alto,-1420.49,0.36,0.04783
1039.69,moderado,-1420.85,0.15,0.24014
1039.79,baixo,-1421,0.5,0.09703
1040.13,alto,-1421.5,1.48,0.33912
1041.14,moderado,-1422.98,0.29,1.0118
1041.34,baixo,-1423.27,1.55,0.19607
1042.39,alto,-1424.82,0.22,1.0554
1042.54,moderado,-1425.04,0.22,0.14858
1042.69,baixo,-1425.26,4.84,0.14796
1046.01,alto,-1430.1,0.08,3.31605
1046.05,moderado,-1430.18,0.15,0.04778
1046.15,baixo,-1430.33,5.19,0.09737
1049.71,alto,-1435.52,0.43,3.55485
1050,moderado,-1435.95,0.08,0.29205
1050.05,alto,-1436.03,1.06,0.04759
1050.77,moderado,-1437.09,0.22,0.72833
1050.92,baixo,-1437.31,3.44,0.14793
1053.27,moderado,-1440.75,0.08,2.35221
1053.32,baixo,-1440.83,6.17,0.04773
1057.55,alto,-1447,0.15,4.23231
1057.65,moderado,-1447.15,0.57,0.0965
1058.03,baixo,-1447.72,5.05,0.38334
1061.49,moderado,-1452.77,0.08,3.45979
1061.54,baixo,-1452.85,1.76,0.04781
1062.75,moderado,-1454.61,0.15,1.20459
1062.84,baixo,-1454.76,1.69,0.09629
1064,moderado,-1456.45,0.57,1.1553
1064.39,baixo,-1457.02,3.58,0.38797
1066.84,alto,-1460.6,0.78,2.45225
1067.37,moderado,-1461.38,0.08,0.53172
1067.42,baixo,-1461.46,0.5,0.04806
1067.75,alto,-1461.96,1.69,0.33568
1068.91,moderado,-1463.65,0.08,1.15598
1068.96,baixo,-1463.73,3.37,0.04831
1071.26,moderado,-1467.1,0.22,2.30782
1071.41,baixo,-1467.32,0.22,0.14331
1071.55,alto,-1467.54,0.43,0.14511
1071.85,moderado,-1467.97,0.08,0.29206
1071.89,baixo,-1468.05,9.18,0.04742
1078.18,moderado,-1477.23,0.15,6.28857
1078.28,baixo,-1477.38,0.29,0.09667
1078.47,alto,-1477.67,0.29,0.19546
1078.67,moderado,-1477.96,0.08,0.19573
1078.72,baixo,-1478.04,0.99,0.04817
1079.4,alto,-1479.03,0.78,0.67969
1079.93,moderado,-1479.81,0.08,0.53225
1079.98,baixo,-1479.89,2.11,0.04771
1081.42,alto,-1482,0.08,1.44398
1081.47,moderado,-1482.08,0.08,0.04766
1081.52,baixo,-1482.16,1.13,0.04953
1082.29,alto,-1483.29,0.64,0.77087
1082.72,moderado,-1483.93,0.15,0.43548
1082.82,baixo,-1484.08,0.36,0.09784
1083.07,alto,-1484.44,0.36,0.24671
1083.31,moderado,-1484.8,0.08,0.24034
1083.36,baixo,-1484.88,4.49,0.04743
1086.44,moderado,-1489.37,0.15,3.07981
1086.53,baixo,-1489.52,3.58,0.09729
1088.98,moderado,-1493.1,0.08,2.44742
1089.03,alto,-1493.18,0.43,0.04707
1089.33,moderado,-1493.61,0.29,0.29684
1089.52,baixo,-1493.9,0.08,0.19133
1089.56,alto,-1493.98,1.69,0.04811
1090.73,moderado,-1495.67,0.15,1.16065
1090.82,alto,-1495.82,1.13,0.09558
1091.59,moderado,-1496.95,0.29,0.76846
1091.79,baixo,-1497.24,0.71,0.19603
1092.27,alto,-1497.95,1.34,0.47996
1093.18,moderado,-1499.29,0.08,0.91179
1093.22,baixo,-1499.37,1.69,0.04763
1094.38,alto,-1501.06,0.15,1.15241
1094.47,moderado,-1501.21,0.22,0.09736
1094.63,baixo,-1501.43,1.48,0.1507
1095.64,alto,-1502.91,0.64,1.01203
1096.07,moderado,-1503.55,0.08,0.43563
1096.12,baixo,-1503.63,0.36,0.04789
1096.36,moderado,-1503.99,0.22,0.23952
1096.51,baixo,-1504.21,0.85,0.1451
1097.09,moderado,-1505.06,0.08,0.57996
1097.13,baixo,-1505.14,2.18,0.04767
1098.64,moderado,-1507.32,0.36,1.50418
1098.89,alto,-1507.68,0.08,0.24777
1098.93,moderado,-1507.76,0.08,0.04792
1098.98,baixo,-1507.84,0.22,0.04907
1099.13,alto,-1508.06,0.15,0.15071
1099.23,moderado,-1508.21,0.08,0.09693
1099.28,baixo,-1508.29,0.43,0.0475
1099.57,moderado,-1508.72,0.22,0.29213
1099.72,baixo,-1508.94,0.42,0.14803
