'﻿Sensor remetente',' Estado do Paciente',' Enviado às (s)',' Processado às (s)',' Diff (s)',Sensors,'Cycle Time Constraint','Emergency Detection Time Constraint'
Sensor0,medio,5.00544,5.20005,0.1946,ten,VIOLATED,SATISFIED
Sensor0,bom,5.41307,5.60635,0.19328,ten,VIOLATED,SATISFIED
Sensor0,medio,8.91388,9.10907,0.19519,ten,VIOLATED,SATISFIED
Sensor0,ruim,9.11648,9.31173,0.19526,ten,VIOLATED,SATISFIED
Sensor0,medio,9.41693,9.6078,0.19087,ten,VIOLATED,SATISFIED
Sensor0,bom,9.61496,9.8082,0.19323,ten,VIOLATED,SATISFIED
Sensor0,medio,10213,10409,0.19606,ten,VIOLATED,SATISFIED
Sensor0,bom,10.5159,10709,0.19308,ten,VIOLATED,SATISFIED
Sensor0,ruim,16.1318,16322,0.19012,ten,VIOLATED,SATISFIED
Sensor0,ruim,16.9293,17.1236,0.19429,ten,VIOLATED,SATISFIED
Sensor0,ruim,17.5328,17.7216,0.18885,ten,VIOLATED,SATISFIED
Sensor0,ruim,26.2359,26.4445,0.20857,ten,VIOLATED,SATISFIED
Sensor0,ruim,26.3465,26.5493,0.20284,ten,VIOLATED,SATISFIED
Sensor0,ruim,26453,26.6428,0.18979,ten,VIOLATED,SATISFIED
Sensor0,ruim,27.2525,27.4404,0.18788,ten,VIOLATED,SATISFIED
Sensor0,medio,30.9446,31.1409,0.1963,ten,VIOLATED,SATISFIED
Sensor0,ruim,31.0461,31243,0.19694,ten,VIOLATED,SATISFIED
Sensor0,medio,31.6442,31.8456,0.20144,ten,VIOLATED,SATISFIED
Sensor0,medio,31.7484,31.9462,0.19783,ten,VIOLATED,SATISFIED
Sensor0,medio,32.6471,32.8384,0.19129,ten,VIOLATED,SATISFIED
Sensor0,ruim,32.9512,33.1434,0.19229,ten,VIOLATED,SATISFIED
Sensor0,medio,33.1501,33.3443,0.19427,ten,VIOLATED,SATISFIED
Sensor0,bom,33.3517,33.5428,0.19115,ten,VIOLATED,SATISFIED
Sensor0,medio,34.9474,35.1501,0.20265,ten,VIOLATED,SATISFIED
Sensor0,bom,35.1574,35.3459,0.18846,ten,VIOLATED,SATISFIED
Sensor0,ruim,37.6456,37842,0.1964,ten,VIOLATED,SATISFIED
Sensor0,medio,39.2477,39.4408,0.19316,ten,VIOLATED,SATISFIED
Sensor0,bom,39.4481,39.6475,0.19935,ten,VIOLATED,SATISFIED
