Tempo(s), Risco do Sensor, Nível da Bateria, Diff(s),Mode
1712.62,baixo,-442.36,18.6486,(4 out of 5)
1730.12,moderado,-447.89,17.5001,(4 out of 5)
1741.89,alto,-451.62,11.7679,(4 out of 5)
1743.86,moderado,-452.25,1.96799,(4 out of 5)
1752.21,baixo,-454.88,8.35589,(4 out of 5)
1752.98,moderado,-455.13,0.764102,(4 out of 5)
1765.7,alto,-459.16,12.7201,(4 out of 5)
1786.65,moderado,-465.77,20.9476,(4 out of 5)
1788.36,baixo,-466.32,1.71238,(4 out of 5)
1790.47,moderado,-466.99,2.1078,(4 out of 5)
1792.37,alto,-467.6,1.90025,(4 out of 5)
1795.29,moderado,-468.53,2.92392,(4 out of 5)
1798.65,baixo,-469.6,3.35575,(4 out of 5)
1799.41,moderado,-469.85,0.75952,(4 out of 5)
1816.46,baixo,-475.24,17.0523,(4 out of 5)
1823.86,moderado,-477.59,7.40045,(4 out of 5)
1860.75,baixo,-489.24,36.8877,(4 out of 5)
1866.35,moderado,-491.03,5.60424,(4 out of 5)
1892.07,baixo,-499.16,25.724,(4 out of 5)
1892.58,moderado,-499.33,0.507982,(4 out of 5)
1922.4,alto,-508.9,29.8192,(4 out of 5)
1933.7,moderado,-512.55,11.2968,(4 out of 5)
2026.71,baixo,-542.44,93.0158,(4 out of 5)
2029.72,moderado,-543.41,3.00378,(4 out of 5)
2084.72,baixo,-560.98,55.0003,(4 out of 5)
2094.19,moderado,-564.01,9.46824,(4 out of 5)
2109.45,alto,-568.9,15.26,(4 out of 5)
2121.77,moderado,-572.85,12.325,(4 out of 5)
2153.66,baixo,-583.08,31.8907,(4 out of 5)
2157.93,moderado,-584.45,4.26794,(4 out of 5)
2239.96,alto,-610.56,82.0308,(4 out of 5)
2242.73,moderado,-611.45,2.76922,(4 out of 5)
2380.31,alto,-655.48,137.576,(4 out of 5)
2394.65,moderado,-660.07,14.3437,(4 out of 5)
2441.89,alto,-675.3,47.2401,(4 out of 5)
2444.16,moderado,-676.03,2.26546,(4 out of 5)
2456.18,baixo,-679.92,12.0232,(4 out of 5)
2467.63,moderado,-683.61,11.4483,(4 out of 5)
2474.88,baixo,-685.94,7.25524,(4 out of 5)
2502.1,moderado,-694.67,27.2205,(4 out of 5)
2518.8,alto,-700.04,16.6991,(4 out of 5)
2530.74,moderado,-703.89,11.9368,(4 out of 5)
2543.23,baixo,-707.86,12.4868,(4 out of 5)
2551.64,moderado,-710.55,8.41318,(4 out of 5)
2567.21,alto,-715.52,15.5761,(4 out of 5)
2567.71,moderado,-715.69,0.499258,(4 out of 5)
2607.86,alto,-728.46,40.1482,(4 out of 5)
2615.15,moderado,-730.77,7.29218,(4 out of 5)
2619.5,baixo,-732.16,4.34829,(4 out of 5)
2620.44,moderado,-732.47,0.935912,(4 out of 5)
2670.02,alto,-748.3,49.584,(4 out of 5)
2670.46,moderado,-748.45,0.440097,(4 out of 5)
2673.23,alto,-749.34,2.77189,(4 out of 5)
2677.45,moderado,-750.69,4.21602,(4 out of 5)
2759.19,baixo,-776.8,81.7437,(4 out of 5)
2762.16,moderado,-777.77,2.9683,(4 out of 5)
2789.84,alto,-786.68,27.6798,(4 out of 5)
2790.97,moderado,-787.05,1.13202,(4 out of 5)
2812.98,alto,-794.12,22.0082,(4 out of 5)
2817.24,moderado,-795.49,4.25984,(4 out of 5)
2841.39,alto,-803.24,24.148,(4 out of 5)
2842.4,moderado,-803.57,1.00809,(4 out of 5)
2885.28,baixo,-817.3,42.8837,(4 out of 5)
2889.05,moderado,-818.51,3.76932,(4 out of 5)
2930.06,baixo,-831.58,41.0094,(4 out of 5)
2935.31,moderado,-833.25,5.24908,(4 out of 5)
2968.09,alto,-843.68,32.7765,(4 out of 5)
2972.1,moderado,-844.97,4.01595,(4 out of 5)
2974.84,alto,-845.86,2.73647,(4 out of 5)
2981.38,moderado,-847.99,6.54269,(4 out of 5)
3011.11,baixo,-857.52,29.7277,(4 out of 5)
3013.69,moderado,-858.35,2.58423,(4 out of 5)
3019.75,baixo,-860.3,6.06087,(4 out of 5)
3023.11,moderado,-861.39,3.36006,(4 out of 5)
3023.94,baixo,-861.66,0.823951,(4 out of 5)
3026.38,moderado,-862.45,2.44377,(4 out of 5)
3053.72,alto,-871.18,27.3362,(4 out of 5)
3056.72,moderado,-872.15,3.00003,(4 out of 5)
3060,alto,-873.22,3.28413,(4 out of 5)
3078.73,moderado,-879.23,18.7268,(4 out of 5)
3096.45,alto,-884.92,17.7161,(4 out of 5)
3135.58,moderado,-897.55,39.137,(4 out of 5)
3140.41,alto,-899.12,4.82676,(4 out of 5)
3149.01,moderado,-901.89,8.59695,(4 out of 5)
3181.65,alto,-912.38,32.64,(4 out of 5)
3186.59,moderado,-913.97,4.94063,(4 out of 5)
3189.05,alto,-914.78,2.46752,(4 out of 5)
3198.4,moderado,-917.79,9.34669,(4 out of 5)
3289.23,baixo,-946.94,90.8326,(4 out of 5)
3307.59,moderado,-952.87,18.361,(4 out of 5)
3328.98,alto,-959.76,21.3837,(4 out of 5)
3332.75,moderado,-960.97,3.7761,(4 out of 5)
3374.18,alto,-974.28,41.4276,(4 out of 5)
3383.46,moderado,-977.27,9.27538,(4 out of 5)
3392.91,baixo,-980.34,9.45701,(4 out of 5)
3394.03,moderado,-980.71,1.11613,(4 out of 5)
3395.71,baixo,-981.26,1.67592,(4 out of 5)
3398.38,moderado,-982.13,2.67181,(4 out of 5)
3451.4,baixo,-999.12,53.0242,(4 out of 5)
3467.89,moderado,-1004.41,16.4874,(4 out of 5)
3479.34,alto,-1008.08,11.4525,(4 out of 5)
3481.49,moderado,-1008.77,2.15173,(4 out of 5)
3534.96,alto,-1025.86,53.4642,(4 out of 5)
3536.59,moderado,-1026.39,1.62802,(4 out of 5)
3552.77,baixo,-1031.62,16.1871,(4 out of 5)
3554.7,moderado,-1032.25,1.92399,(4 out of 5)
3559.95,baixo,-1033.96,5.24902,(4 out of 5)
3563.96,moderado,-1035.25,4.01113,(4 out of 5)
3587.49,baixo,-1042.82,23.5316,(4 out of 5)
3595.74,moderado,-1045.49,8.25247,(4 out of 5)
3641.5,baixo,-1060.18,45.756,(4 out of 5)
3645.26,moderado,-1061.39,3.76087,(4 out of 5)
3658.42,baixo,-1065.6,13.1601,(4 out of 5)
3676.21,moderado,-1071.27,17.7918,(4 out of 5)
