Tref:,1514230812,0.00256277,=B1+C1

Sensor Sender ID, Patient Health Status, Detected Emergency?, T bodyhub.processed (s), T sensornode.collected (s), delta (s)
2,bad,true,13.599,13.5153,0.0837168
1,bad,false,16.199,16.1097,0.0893027
2,medium,false,22.7989,22.7153,0.0835795
0,bad,true,23.1989,23.004,0.194838
1,bad,true,25.6988,25.6098,0.0890164
0,bad,false,32.2989,32.1041,0.194806
2,bad,true,33.799,33.7155,0.0834233
1,bad,false,35.399,35.3097,0.0892993
0,bad,true,42.7989,42.6041,0.194858
2,bad,false,42.899,42.8166,0.0823991
1,bad,true,46.3989,46.3097,0.0892757
1,bad,false,55.499,55.4097,0.0892474
2,bad,true,63.899,63.8157,0.0832246
1,bad,false,75.9989,75.9098,0.0891
0,bad,false,82.6989,82.5041,0.194838
2,good,false,83.1989,83.1153,0.0836166
1,medium,false,86.999,86.9097,0.0892437
0,bad,true,93.699,93.5042,0.194812
2,bad,true,94.1989,94.1155,0.0834088
1,bad,false,96.499,96.4101,0.0888328
0,bad,false,102.899,102.704,0.19477
2,good,false,103.399,103.315,0.0837637
0,bad,true,113.899,113.704,0.19507
2,bad,false,114.399,114.316,0.0826525
1,bad,true,128.499,128.41,0.0892466
0,bad,false,143.199,143.004,0.194816
2,bad,true,144.899,144.816,0.0833659
1,bad,false,147.699,147.609,0.0894766
1,bad,false,158.199,158.11,0.0892646
0,bad,false,164.199,164.004,0.194785
0,bad,false,173.699,173.504,0.194555
0,bad,true,194.699,194.504,0.194836
2,bad,false,194.899,194.815,0.0834172
0,medium,false,203.899,203.704,0.194968
2,medium,false,205.899,205.815,0.083556
1,bad,true,210.199,210.11,0.0892569
0,bad,true,214.399,214.204,0.194972
2,bad,true,215.899,215.815,0.0835158
0,bad,false,224.099,223.904,0.194797
2,bad,false,225.499,225.416,0.0827194
1,medium,false,229.399,229.31,0.0893228
0,bad,true,234.599,234.404,0.194713
2,bad,true,236.499,236.415,0.0835551
0,bad,false,244.199,244.005,0.193598
2,good,false,245.599,245.515,0.0834822
1,bad,true,251.399,251.309,0.0894724
1,good,false,260.499,260.41,0.0893154
2,bad,true,267.599,267.515,0.083656
1,bad,true,271.499,271.41,0.0891986
0,bad,true,276.199,276.005,0.194199
0,bad,false,285.299,285.104,0.194857
1,bad,false,290.699,290.61,0.0892759
0,bad,true,296.299,296.104,0.194827
2,bad,false,296.799,296.715,0.0834981
1,bad,false,301.199,301.11,0.0892103
0,medium,false,305.499,305.304,0.194895
2,bad,true,307.299,307.215,0.083671
1,bad,true,312.199,312.11,0.089782
0,bad,true,316.499,316.304,0.195015
2,bad,false,316.899,316.816,0.0836035
1,bad,false,321.4,321.31,0.0895637
0,medium,false,325.7,325.504,0.195604
2,bad,true,327.899,327.815,0.0834402
1,bad,true,331.899,331.81,0.0892651
2,bad,false,337.099,337.016,0.0831607
0,bad,true,347.699,347.504,0.194684
2,bad,true,348.099,348.016,0.0833183
1,bad,false,351.599,351.51,0.0892065
1,bad,false,362.099,362.01,0.0891074
2,bad,false,367.299,367.215,0.0836661
1,bad,false,373.099,373.01,0.0892403
0,medium,false,377.099,376.904,0.194865
1,bad,true,383.099,383.01,0.0893107
0,bad,true,388.099,387.904,0.195014
2,bad,true,388.299,388.216,0.0834113
2,bad,false,397.499,397.415,0.0835071
2,bad,true,408.499,408.416,0.0833365
1,bad,false,422.799,422.71,0.0890464
0,bad,false,427.399,427.204,0.194783
1,bad,true,433.799,433.71,0.0894073
0,bad,true,438.399,438.204,0.194696
1,bad,false,442.899,442.81,0.0891639
1,bad,true,463.899,463.81,0.0893678
1,bad,false,483.099,483.01,0.0890933
0,bad,false,487.799,487.604,0.194782
2,good,false,498.099,498.015,0.0835045
0,bad,true,498.799,498.604,0.19487
1,bad,true,505.099,505.01,0.089179
1,bad,false,514.199,514.11,0.0892745
0,medium,false,517.999,517.804,0.195021
2,bad,true,519.099,519.015,0.0835992
1,bad,true,524.699,524.61,0.0892354
2,bad,false,528.299,528.215,0.0834229
0,bad,true,528.999,528.805,0.194008
1,bad,false,534.299,534.21,0.0891959
0,medium,false,538.099,537.904,0.19476
1,good,false,544.799,544.71,0.0891803
0,bad,true,549.099,548.904,0.194583
1,bad,false,555.799,555.71,0.0891797
0,medium,false,558.299,558.105,0.194253
2,bad,true,560.299,560.216,0.0834132
1,bad,true,565.799,565.71,0.0892469
2,bad,false,569.499,569.415,0.083447
1,medium,false,575.399,575.31,0.0892834
2,bad,true,580.499,580.415,0.0834775
1,bad,true,585.899,585.81,0.089269
1,bad,false,605.599,605.51,0.0893642
2,good,false,609.699,609.616,0.0825986
0,bad,true,612.299,612.104,0.194845
