@relation bodyhub_sensors_rt

@attribute 'Sensor remetente' {Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19}
@attribute ' Estado do Paciente' {bom}
@attribute ' Enviado as (s)' numeric
@attribute ' Processado as (s)' numeric
@attribute ' Diff (s)' numeric
@attribute 'Numero de sensores' {five,ten,twenty}
@attribute 'Real-time Mode' {'Real-time ON'}
@attribute 'Cycle Time Constraint' {SATISFIED,VIOLATED}
@attribute 'Emergency Detection Time Constraint' {SATISFIED}

@data
Sensor0,bom,60.2424,60.3367,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,61.2423,61.3366,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,62.2424,62.3367,0.09435,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,63.2424,63.3368,0.09435,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,64.2424,64.3367,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,65.2424,65.3367,0.09438,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,66.2423,66.3366,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,67.2423,67.3366,0.09426,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,68.2424,68.3367,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,69.2424,69.3367,0.09425,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,70.2425,70.3367,0.09426,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,71.2424,71.3367,0.0943,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,72.2423,72.3366,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,73.2423,73.3367,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,74.2423,74.3365,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,75.2421,75.3366,0.09447,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,76.2423,76.3366,0.09438,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,77.2423,77.3367,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,78.2423,78.3366,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
