Tempo(s), Risco do Sensor, Nivel da Bateria,Delta Bateria, Diff(s),Mode
978,alto,-73.2,1.13,6.24385,Controlled
979,moderado,-74.33,0.29,0.76762,Controlled
980,baixo,-74.62,1.13,0.96436,Controlled
988,alto,-75.75,0.15,7.68011,Controlled
988,moderado,-75.9,0.08,0.09672,Controlled
988,alto,-75.98,0.85,0.23939,Controlled
989,moderado,-76.83,0.22,0.58007,Controlled
989,baixo,-77.05,0.36,0.72367,Controlled
991.72,alto,-77.41,0.64,2.40816,Controlled
992,moderado,-78.05,0.29,0.43619,Controlled
993.12,baixo,-78.34,0.08,0.96429,Controlled
994,alto,-78.42,0.22,0.48323,Controlled
994,moderado,-78.64,0.22,0.14867,Controlled
994,baixo,-78.86,1.83,0.72407,Controlled
1006.96,moderado,-80.69,0.08,12.4879,Controlled
1007.21,alto,-80.77,0.64,0.2438,Controlled
1007.64,moderado,-81.41,0.22,0.43183,Controlled
1008.36,baixo,-81.63,0.99,0.72378,Controlled
1015.08,alto,-82.62,0.22,6.72048,Controlled
1015.23,moderado,-82.84,0.29,0.14812,Controlled
1016.2,baixo,-83.13,0.15,0.96338,Controlled
1017.16,alto,-83.28,0.15,0.96053,Controlled
1017.25,moderado,-83.43,0.15,0.0967,Controlled
1017.74,baixo,-83.58,2.95,0.48302,Controlled
1037.91,moderado,-86.53,0.08,20.1765,Controlled
1038.15,baixo,-86.61,5.05,0.23999,Controlled
1072.71,moderado,-91.66,0.29,34.5595,Controlled
1073.67,baixo,-91.95,2.67,0.96029,Controlled
1091.92,moderado,-94.62,0.22,18,Controlled
1092.65,baixo,-94.84,0.08,0.72402,Controlled
1093.13,moderado,-94.92,0.22,0.48389,Controlled
1093.85,baixo,-95.14,9.11,0.71962,Controlled
1156.28,moderado,-104.25,0.22,62.4245,Controlled
1157,alto,-104.47,0.29,0.72009,Controlled
1157.19,moderado,-104.76,0.15,0.19594,Controlled
1157.68,baixo,-104.91,3.02,0.48401,Controlled
1178.32,alto,-107.93,1.13,20.6441,Controlled
1179.09,moderado,-109.06,0.22,0.77168,Controlled
1179.81,baixo,-109.28,2.53,0.71963,Controlled
1197.1,moderado,-111.81,0.64,17.2884,Controlled
1199.26,baixo,-112.45,0.5,2.16019,Controlled
1202.62,moderado,-112.95,0.15,3.36396,Controlled
1203.1,baixo,-113.1,2.25,0.48009,Controlled
1218.48,alto,-115.35,0.5,15,Controlled
1218.82,moderado,-115.85,0.08,0.33993,Controlled
1219.06,baixo,-115.93,1.41,0.24427,Controlled
1228.66,moderado,-117.34,0.08,9.6031,Controlled
1228.9,alto,-117.42,0.57,0.24012,Controlled
1229.29,moderado,-117.99,0.29,0.38409,Controlled
1230.25,baixo,-118.28,14.01,0.95978,Controlled
1326.74,moderado,-132.29,0.08,96.4916,Controlled
1326.98,baixo,-132.37,0.08,0.24096,Controlled
1327.46,alto,-132.45,1.2,0.48395,Controlled
1328.28,moderado,-133.65,0.22,0.81529,Controlled
