Tref:,1514232786,0.791222,=B1+C1

Sensor Sender ID, Patient Health Status, Detected Emergency?, T bodyhub.processed (s), T sensornode.collected (s), delta (s)
1,bad,true,15.7131,15.6217,0.0913843
6,bad,true,22.0106,21.9854,0.025276
5,bad,false,22.1371,21.9798,0.15735
7,bad,true,23.3632,23.3446,0.0185872
1,bad,false,24.9554,24.8436,0.111771
2,bad,false,25.6924,25.5219,0.17044
9,bad,true,26.9167,26.9097,0.00698228
12,bad,true,29.2459,29.151,0.0949369
3,bad,false,29.6159,29.5737,0.0421843
13,bad,true,30.2323,30.1443,0.0880642
14,bad,true,30.9719,30.8903,0.0815614
6,bad,false,31.0986,31.0737,0.0248995
15,bad,false,31.7121,31.6357,0.0764432
5,bad,false,31.9604,31.8079,0.15256
16,bad,false,32.3316,32.2612,0.0704361
18,bad,true,33.8146,33.7557,0.0589158
19,bad,true,34.313,34.2598,0.0532867
0,bad,false,35.2971,35.1787,0.118321
9,bad,false,35.9149,35.908,0.0069205
1,bad,false,36.0409,35.9268,0.11405
13,bad,false,39.2391,39.1483,0.0907756
11,bad,true,39.489,39.387,0.101956
3,bad,true,39.4891,39.4464,0.0427069
14,bad,false,39.8649,39.7819,0.0830665
10,bad,true,40.1121,40.0061,0.105969
15,bad,true,41.603,41.5256,0.0773407
4,bad,true,41.9794,41.9421,0.0373123
16,bad,true,42.2283,42.157,0.0712333
5,bad,true,43.0952,42.9423,0.152933
17,bad,false,44.0876,44.0211,0.0665345
9,bad,true,47.0571,47.0503,0.00683704
1,bad,true,47.1851,47.0694,0.115722
8,bad,true,47.5602,47.5473,0.0129018
3,bad,false,49.0731,49.0307,0.0423786
4,bad,false,50.9418,50.9055,0.036361
6,bad,true,52.1926,52.1667,0.0258686
0,bad,true,55.7834,55.6645,0.118824
8,bad,false,56.5282,56.515,0.0132133
2,bad,false,56.655,56.4806,0.174347
12,bad,false,58.3859,58.288,0.0979272
11,bad,false,58.5128,58.4097,0.103042
10,bad,false,59.1348,59.0273,0.107496
15,bad,false,61.2683,61.1894,0.0788153
16,bad,false,61.9098,61.8347,0.0750742
4,bad,true,62.1717,62.1338,0.0379772
