Tref:,1514236251,0.0456232,=B1+C1

Sensor Sender ID, Patient Health Status, Detected Emergency?, T bodyhub.processed (s), T sensornode.collected (s), delta (s)
1,medium,false,18.1559,18.0664,0.0894517
0,medium,false,18.4559,18.2607,0.195135
2,bad,true,18.5559,18.4736,0.0822813
2,medium,false,29.0558,28.9723,0.0835127
0,medium,false,30.457,30.2627,0.194274
1,bad,true,33.6559,33.5666,0.0892608
2,bad,true,44.0559,43.9723,0.0835705
1,bad,false,44.1559,44.0676,0.0883158
0,bad,false,48.4558,48.261,0.194855
2,medium,false,54.6559,54.5728,0.0831547
1,medium,false,60.1558,60.0666,0.0892302
0,medium,false,61.9559,61.7611,0.194788
2,bad,true,69.6559,69.5725,0.0834021
1,bad,false,75.1559,75.0666,0.0892976
0,bad,false,76.9559,76.7611,0.194781
2,medium,false,79.9557,79.8728,0.0829425
0,bad,true,89.9558,89.7609,0.194875
0,good,false,101.157,100.961,0.195463
1,medium,false,101.157,101.067,0.0900336
2,medium,false,105.956,105.872,0.0836405
1,bad,true,113.656,113.566,0.0893221
0,bad,false,117.156,116.961,0.194793
2,bad,false,119.456,119.372,0.0835329
1,medium,false,124.156,124.067,0.0892759
0,bad,true,131.656,131.461,0.194815
2,bad,false,135.456,135.372,0.0834473
0,medium,false,142.556,142.361,0.194839
1,bad,true,146.156,146.066,0.0893874
2,bad,false,147.956,147.872,0.0835689
1,medium,false,156.556,156.467,0.0891973
0,medium,false,157.556,157.361,0.194797
2,medium,false,168.956,168.873,0.0833321
0,bad,true,169.557,169.361,0.195581
1,bad,false,169.557,169.467,0.0899425
0,medium,false,180.856,180.661,0.194905
1,bad,true,187.556,187.467,0.0892741
2,bad,false,190.456,190.372,0.0833467
0,bad,true,196.856,196.661,0.194802
1,bad,false,197.956,197.867,0.0891519
0,good,false,207.456,207.261,0.194765
1,medium,false,211.956,211.867,0.0892346
2,medium,false,217.456,217.372,0.0835774
0,bad,true,221.456,221.261,0.19479
1,bad,true,223.956,223.867,0.0892584
2,bad,false,228.956,228.873,0.0833616
0,bad,false,232.156,231.961,0.194843
1,medium,false,234.456,234.367,0.0893634
2,medium,false,249.956,249.872,0.0835836
0,bad,true,251.156,250.961,0.194831
0,medium,false,261.957,261.761,0.195562
2,medium,false,261.957,261.872,0.0842791
1,medium,false,265.956,265.866,0.0893655
0,good,false,274.456,274.261,0.194842
1,medium,false,283.956,283.867,0.089198
2,medium,false,284.956,284.873,0.0833325
1,bad,true,299.956,299.867,0.0892929
2,bad,true,300.956,300.872,0.083539
0,bad,true,308.456,308.261,0.194887
1,bad,false,310.356,310.267,0.0892276
2,bad,false,311.256,311.172,0.0833884
0,medium,false,319.556,319.361,0.194802
1,good,false,326.356,326.267,0.0892401
2,medium,false,332.256,332.172,0.0835188
0,medium,false,338.556,338.361,0.194893
1,medium,false,341.356,341.267,0.0893458
2,bad,true,347.756,347.672,0.0836619
0,bad,false,353.056,352.861,0.194921
1,bad,false,354.356,354.267,0.0894118
2,medium,false,358.956,358.872,0.0834905
0,medium,false,367.056,366.861,0.194769
1,bad,true,370.356,370.267,0.0893099
0,bad,true,379.056,378.861,0.194776
1,bad,false,380.656,380.567,0.0891764
2,bad,true,384.456,384.372,0.0836685
0,bad,false,389.656,389.461,0.194805
1,bad,false,395.156,395.067,0.089112
2,medium,false,395.356,395.272,0.0835509
0,bad,true,404.156,403.961,0.194812
2,bad,true,409.356,409.276,0.0797372
1,bad,true,411.156,411.068,0.0879027
0,bad,false,414.558,414.364,0.194698
2,bad,false,419.956,419.872,0.083589
1,medium,false,422.256,422.167,0.0891875
0,bad,true,429.556,429.361,0.194788
2,bad,true,438.956,438.873,0.0831125
1,bad,false,439.256,439.167,0.0891071
0,bad,false,440.956,440.761,0.194727
2,medium,false,449.656,449.572,0.0836347
0,medium,false,454.956,454.761,0.194847
1,medium,false,456.256,456.167,0.0892943
2,medium,false,462.156,462.073,0.0825906
0,good,false,468.456,468.261,0.194817
1,medium,false,470.256,470.167,0.0893408
2,medium,false,476.156,476.074,0.0829378
1,bad,true,482.256,482.167,0.0887617
2,bad,true,489.156,489.072,0.0833865
1,bad,false,493.456,493.367,0.0891984
2,medium,false,500.256,500.172,0.0834799
1,good,false,508.456,508.367,0.0892305
0,bad,true,509.456,509.261,0.194768
2,bad,false,519.256,519.172,0.0833435
0,medium,false,520.756,520.561,0.194843
1,bad,true,529.456,529.367,0.0892063
2,bad,false,533.756,533.672,0.0835425
0,bad,true,536.756,536.561,0.19491
1,bad,false,539.956,539.867,0.0891801
0,medium,false,547.056,546.861,0.194798
2,bad,true,547.756,547.672,0.083594
1,bad,false,555.456,555.367,0.0891893
2,medium,false,558.456,558.373,0.0833723
1,medium,false,571.456,571.367,0.0892722
2,bad,true,574.956,574.872,0.0834844
0,bad,true,576.056,575.861,0.194804
1,bad,false,584.456,584.367,0.0893079
2,bad,false,586.556,586.473,0.0833985
0,medium,false,587.256,587.061,0.194794
0,bad,true,602.256,602.061,0.194923
2,bad,true,602.556,602.472,0.0834676
1,bad,true,604.456,604.367,0.0892434
0,bad,false,612.957,612.761,0.195584
2,bad,false,612.957,612.873,0.0841151
1,medium,false,614.856,614.767,0.0892722
1,medium,false,627.356,627.267,0.0892822
0,good,false,631.456,631.261,0.194907
