Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor0,bom,7.52969,7.72429,0.194602
Sensor0,bom,8.52843,8.72427,0.195842
Sensor0,bom,9.53001,9.72387,0.193858
Sensor0,bom,10.5357,10.7309,0.1952
Sensor0,bom,11.5358,11.7302,0.194346
Sensor0,bom,12.5365,12.7298,0.193305
Sensor0,bom,13.5354,13.7354,0.199921
Sensor0,bom,14.5429,14.7371,0.194193
Sensor0,bom,15.5422,15737,0.194777
Sensor0,bom,16.5489,16.7424,0.19351
Sensor0,bom,17.5517,17.7425,0.190781
Sensor0,bom,18.5583,18.7486,0.190378
Sensor0,bom,19.5584,19.7504,0.191988
Sensor0,bom,20.5542,20.7454,0.191221
Sensor0,bom,21.5607,21.7501,0.189415
Sensor0,bom,22.5584,22751,0.19259
Sensor0,medio,23565,23.7537,0.188684
Sensor0,medio,24.0593,24257,0.197711
Sensor0,medio,24.5595,24.75,0.190486
Sensor0,medio,25.0548,25.2483,0.193467
Sensor0,medio,25.5632,25.7527,0.189543
Sensor0,medio,26.0599,26.2539,0.194035
Sensor0,medio,26.5612,26.7511,0.18992
Sensor0,medio,27056,27.2477,0.191699
Sensor0,medio,27.5607,27.7488,0.188054
Sensor0,medio,28.0614,28.2586,0.197214
Sensor0,medio,28.5689,28.7557,0.186758
Sensor0,medio,29.0644,29.2594,0.195063
Sensor0,medio,29.5714,29757,0.18562
Sensor0,medio,30.0652,30.2581,0.192975
Sensor0,medio,30.5708,30.7588,0.188008
Sensor0,medio,31.0674,31.2568,0.189435
Sensor0,medio,31.5645,31.7567,0.192259
Sensor0,medio,32.0673,32.2635,0.196215
Sensor0,medio,32.5698,32.7543,0.184473
Sensor0,medio,33.0693,33.2621,0.192821
Sensor0,medio,33.5704,33.7574,0.186957
Sensor0,medio,34065,34.2579,0.192827
Sensor0,medio,34.5648,34.7571,0.19221
Sensor0,medio,35.0649,35.2588,0.193874
Sensor0,medio,35.5657,35.7551,0.189413
Sensor0,medio,36.0666,36.2588,0.192175
Sensor0,medio,36.5664,36.7563,0.189929
Sensor0,medio,37.0666,37.2558,0.189287
