@relation 'NOTRT-bodyhub_5,10,20_sensores'

@attribute 'Sensor remetente' {Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19}
@attribute ' Estado do Paciente' {bom,medio,ruim}
@attribute ' Enviado as (s)' numeric
@attribute ' Processado as (s)' numeric
@attribute ' Diff (s)' numeric
@attribute 'Numero de Sensores' {five,ten,twenty}
@attribute 'Real-time Mode' {'Real-time OFF'}
@attribute 'Cycle Time Constraint' {SATISFIED,VIOLATED}
@attribute 'Emergency Detection time Constraint' {SATISFIED,VIOLATED}

@data
Sensor0,bom,7.52969,7.72429,0.1946,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,8.52843,8.72427,0.19584,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,9.53001,9.72387,0.19386,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,10.5357,10.7309,0.1952,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,11.5358,11.7302,0.19435,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,12.5365,12.7298,0.19331,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,13.5354,13.7354,0.19992,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,14.5429,14.7371,0.19419,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,15.5422,15737,0.19478,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,16.5489,16.7424,0.19351,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,17.5517,17.7425,0.19078,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,18.5583,18.7486,0.19038,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,19.5584,19.7504,0.19199,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,20.5542,20.7454,0.19122,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,21.5607,21.7501,0.18942,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,bom,22.5584,22751,0.19259,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,23565,23.7537,0.18868,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,24.0593,24257,0.19771,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,24.5595,24.75,0.19049,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,25.0548,25.2483,0.19347,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,25.5632,25.7527,0.18954,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,26.0599,26.2539,0.19404,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,26.5612,26.7511,0.18992,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,27056,27.2477,0.1917,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,27.5607,27.7488,0.18805,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,28.0614,28.2586,0.19721,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,28.5689,28.7557,0.18676,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,29.0644,29.2594,0.19506,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,29.5714,29757,0.18562,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,30.0652,30.2581,0.19298,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,30.5708,30.7588,0.18801,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,31.0674,31.2568,0.18944,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,31.5645,31.7567,0.19226,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,32.0673,32.2635,0.19622,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,32.5698,32.7543,0.18447,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,33.0693,33.2621,0.19282,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,33.5704,33.7574,0.18696,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,34065,34.2579,0.19283,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,34.5648,34.7571,0.19221,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,35.0649,35.2588,0.19387,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,35.5657,35.7551,0.18941,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,36.0666,36.2588,0.19218,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,36.5664,36.7563,0.18993,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,37.0666,37.2558,0.18929,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,37.5637,37.7632,0.19948,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,38.0732,38.2636,0.19034,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,38.5732,38.7644,0.19119,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,39.0716,39.2634,0.19187,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,39.5783,39.7672,0.18893,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,40.0771,40.2686,0.19145,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,40.5833,40.7692,0.18589,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,41.0742,41.2663,0.19217,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,41.5752,41.7655,0.19034,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,42.0726,42.2615,0.18896,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,42.5711,42.7632,0.19212,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,43.0694,43.2645,0.19504,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,43.5747,43.7617,0.18695,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,44.0734,44.2629,0.18948,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,44.5743,44.7653,0.19103,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,45.0732,45.2651,0.19195,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,45.5782,45764,0.1858,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,46.0707,46266,0.19531,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,46.5743,46.7745,0.20019,ten,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,47.0788,47.2707,0.19192,ten,'Real-time OFF',VIOLATED,SATISFIED
