Sensor remetente, Estado do Paciente, Enviado às (s), Processado às (s), Diff (s)
Sensor3,medio,74457,74635,0.178071
Sensor0,medio,74.6407,74.8364,0.195754
Sensor2,medio,74.7513,74.8365,0.085255
Sensor4,medio,74.7631,74.8366,0.0735787
Sensor1,medio,74.8483,74.9351,0.0868293
Sensor0,medio,75.1401,75.3357,0.195568
Sensor4,medio,75.2631,75.3358,0.0727237
Sensor3,medio,75457,75635,0.178018
Sensor0,medio,75.6406,75.8363,0.1957
Sensor2,medio,75.7515,75.8364,0.08493
Sensor4,medio,75.7632,75.8365,0.0732891
Sensor1,medio,75.8481,75935,0.0869313
Sensor0,medio,76.14,76.3357,0.195727
Sensor4,medio,76.2628,76.3359,0.0730887
Sensor3,medio,76457,76.6351,0.178115
Sensor0,medio,76.6408,76.8365,0.195704
Sensor2,medio,76.7514,76.8366,0.0852334
Sensor4,medio,76.7631,76.8367,0.0735656
Sensor1,medio,76.8479,76.9351,0.0872017
Sensor0,medio,77.14,77.3357,0.195661
Sensor4,medio,77.2632,77.3359,0.0726889
Sensor3,medio,77.4571,77635,0.177972
Sensor0,medio,77.6407,77.8364,0.19567
Sensor2,medio,77.7515,77.8365,0.0849407
Sensor4,medio,77.7634,77.8366,0.0732105
Sensor1,medio,77.8483,77.9351,0.0867903
Sensor4,medio,78.2631,78.3351,0.0719668
Sensor3,medio,78.4571,78.6351,0.177962
Sensor0,medio,78.6407,78.8364,0.195747
Sensor2,medio,78.7515,78.8366,0.0850689
Sensor4,medio,78.7632,78.8367,0.0734917
Sensor1,medio,78.8481,78.9351,0.0870134
Sensor4,medio,79263,79.3351,0.0721079
Sensor3,medio,79.4571,79.6351,0.177987
Sensor0,medio,79.6406,79.8365,0.195863
Sensor2,medio,79.7515,79.8366,0.0851236
Sensor4,medio,79.7632,79.8367,0.0734745
Sensor1,medio,79.8481,79.9351,0.087045
Sensor4,medio,80263,80.3351,0.0721268
Sensor3,medio,80.4571,80635,0.177957
Sensor0,medio,80.6406,80.8365,0.19587
Sensor2,medio,80.7513,80.8366,0.0852991
Sensor4,medio,80.7629,80.8367,0.0737659
Sensor1,medio,80.8482,80.9351,0.0869623
Sensor2,medio,81.2514,81.3358,0.0843205
Sensor4,medio,81.2631,81.3359,0.0728166
Sensor3,medio,81.4571,81.6351,0.177971
Sensor0,medio,81.6407,81.8357,0.195037
Sensor4,medio,81.7629,81.8359,0.0729644
Sensor1,medio,81847,81.9351,0.0880212
Sensor2,medio,82.2513,82.3357,0.0843643
Sensor4,medio,82263,82.3358,0.0727957
Sensor3,medio,82.4571,82.6351,0.177945
Sensor0,medio,82.6407,82.8364,0.195718
Sensor2,medio,82.7513,82.8365,0.0851369
Sensor4,medio,82763,82.8366,0.07355
Sensor1,medio,82.8481,82.9351,0.0870085
Sensor2,medio,83.2512,83.3357,0.0845238
Sensor4,medio,83.2629,83.3359,0.0729855
Sensor3,medio,83.4572,83.6351,0.177862
Sensor0,medio,83.6406,83.8364,0.195717
Sensor2,medio,83.7514,83.8365,0.0851017
Sensor4,medio,83.7629,83.8366,0.0736901
Sensor1,medio,83848,83.9351,0.0870743
Sensor2,medio,84.2515,84.3357,0.0842136
Sensor4,medio,84.2631,84.3358,0.0726607
Sensor3,medio,84.4572,84.6351,0.17786
Sensor0,medio,84.6407,84.8364,0.195686
Sensor2,medio,84.7514,84.8365,0.0850481
Sensor4,medio,84.7631,84.8366,0.0735034
Sensor1,medio,84.8479,84.9351,0.087147
Sensor0,medio,85.1401,85.3364,0.196302
Sensor2,medio,85.2514,85.3365,0.0850213
Sensor4,medio,85.2631,85.3366,0.0734614
Sensor3,medio,85.4573,85.6351,0.177788
Sensor0,medio,85.6407,85.8364,0.195713
Sensor2,medio,85.7513,85.8365,0.0852126
Sensor4,medio,85763,85.8367,0.0736289
Sensor1,medio,85.8481,85935,0.0869796
Sensor0,medio,86.14,86.3364,0.196467
Sensor2,medio,86.2514,86.3365,0.0850804
Sensor4,medio,86.2631,86.3366,0.0734642
Sensor3,medio,86.4571,86.6351,0.177979
Sensor0,medio,86.6406,86.8372,0.196576
Sensor2,medio,86.7516,86.8373,0.0857632
Sensor4,medio,86.7633,86.8374,0.0740691
Sensor1,medio,86.8488,86.9352,0.0863523
Sensor0,medio,87.1401,87.3364,0.196338
Sensor2,medio,87.2515,87.3365,0.0849695
Sensor4,medio,87.2633,87.3366,0.0732636
Sensor3,medio,87.4571,87635,0.177969
Sensor0,ruim,87.6406,87.8364,0.195731
Sensor2,medio,87.7515,87.8365,0.0849779
Sensor4,medio,87.7642,87.8366,0.0723315
Sensor0,ruim,87.74,87.9357,0.195737
Sensor1,ruim,87848,87.9358,0.0877679
Sensor0,ruim,87.8421,88035,0.192855
Sensor0,ruim,87.9414,88135,0.193628
Sensor0,ruim,88.0406,88235,0.194464
Sensor0,ruim,88.1406,88.3364,0.19582
Sensor2,medio,88.2526,88.3365,0.0838664
Sensor4,medio,88.2651,88.3366,0.0714561
Sensor0,ruim,88.2407,88.4351,0.194398
Sensor0,ruim,88.3421,88535,0.192877
Sensor0,ruim,88.4407,88.6356,0.194906
Sensor3,medio,88.4588,88.6357,0.176934
Sensor0,ruim,88.5406,88735,0.194319
Sensor0,ruim,88.6413,88.8378,0.196458
Sensor2,medio,88.7529,88.8378,0.0849394
Sensor4,medio,88.7671,88.8379,0.070876
Sensor0,ruim,88.7405,88.9359,0.195427
Sensor1,ruim,88.8495,88936,0.0865627
Sensor0,ruim,88.8436,89.0381,0.194528
Sensor0,ruim,88942,89.1389,0.196898
Sensor0,ruim,89.0442,89.2378,0.193576
Sensor0,ruim,89.1461,89.3394,0.193271
Sensor2,medio,89.2639,89.3396,0.0756764
Sensor4,medio,89.2832,89.3397,0.0565294
Sensor0,ruim,89.2447,89.4364,0.191798
Sensor0,ruim,89.3464,89535,0.188628
Sensor0,ruim,89.4445,89.6394,0.194947
Sensor3,medio,89.4649,89.6396,0.174648
Sensor0,ruim,89.5422,89.7353,0.193079
Sensor0,ruim,89.6465,89.8365,0.190039
Sensor2,medio,89.7573,89.8367,0.0793655
Sensor4,medio,89.7763,89.8368,0.0605472
Sensor0,ruim,89.7428,89.9358,0.192972
Sensor1,ruim,89.8497,89.9359,0.0862941
Sensor0,ruim,89.8427,90.0351,0.192406
Sensor0,ruim,89.9417,90135,0.193372
Sensor0,ruim,90.0407,90235,0.194352
Sensor0,ruim,90.1407,90.3364,0.195728
Sensor2,medio,90.2525,90.3365,0.0840096
Sensor4,medio,90.2658,90.3366,0.0708455
Sensor0,ruim,90.2407,90435,0.194383
Sensor0,ruim,90.3423,90535,0.192753
Sensor0,ruim,90.4407,90.6357,0.195061
Sensor3,medio,90.4589,90.6359,0.177056
Sensor0,ruim,90.5407,90.7351,0.194358
Sensor0,ruim,90.6415,90.8385,0.197051
Sensor2,medio,90.7527,90839,0.0862854
Sensor4,medio,90.7664,90.8393,0.0729685
Sensor0,ruim,90.7407,90.9362,0.195504
Sensor1,ruim,90.8535,90.9366,0.0831446
Sensor0,ruim,90.8448,91035,0.19019
Sensor0,ruim,90.9428,91.1351,0.192286
Sensor0,ruim,91.0407,91.2351,0.194387
Sensor0,ruim,91.1407,91339,0.198232
Sensor2,medio,91.2527,91.3393,0.0866088
Sensor4,medio,91267,91.3395,0.0724258
Sensor0,ruim,91.2407,91.4351,0.194332
Sensor0,medio,91.3461,91.5358,0.189619
Sensor3,medio,91463,91.6351,0.172096
Sensor2,medio,91.7515,91.8357,0.0842267
Sensor4,medio,91.7633,91.8359,0.0725521
Sensor1,medio,91.8473,91.9369,0.0895406
Sensor0,medio,91.8415,92.0351,0.19359
Sensor2,medio,92.2576,92.3405,0.0829488
Sensor4,medio,92.2756,92.3407,0.065126
Sensor0,medio,92.3483,92535,0.18671
Sensor3,medio,92.4574,92.6351,0.177714
Sensor2,medio,92.7514,92.8377,0.0863283
Sensor4,medio,92.7655,92838,0.0725101
Sensor1,medio,92.8545,92938,0.0834241
Sensor0,medio,92.8446,93039,0.194433
Sensor2,medio,93.2551,93.3357,0.0806036
Sensor4,medio,93.2668,93.3358,0.0689479
Sensor0,medio,93.3414,93535,0.19357
Sensor3,medio,93.4573,93.6351,0.177781
Sensor2,medio,93.7557,93.8364,0.0806376
Sensor4,medio,93.7677,93.8372,0.0694975
Sensor1,medio,93.8496,93935,0.085411
Sensor0,medio,93.8436,94.0351,0.191506
Sensor2,medio,94.2514,94.3378,0.0864166
Sensor4,medio,94.2632,94.3382,0.0749475
Sensor0,medio,94.3447,94.5351,0.190397
Sensor3,medio,94459,94.6351,0.176074
Sensor2,medio,94.7515,94.8357,0.0842047
Sensor4,medio,94.7634,94.8359,0.0725554
Sensor1,medio,94.8473,94.9351,0.0877576
Sensor0,medio,94.8414,95.0351,0.193665
Sensor2,medio,95.2515,95.3357,0.084216
Sensor4,medio,95.2632,95.3358,0.0726785
Sensor0,medio,95.3415,95535,0.19352
Sensor3,medio,95.4572,95635,0.177772
Sensor2,medio,95.7515,95.8357,0.0842117
Sensor4,medio,95.7632,95.8359,0.0726107
Sensor1,medio,95.8473,95935,0.0876661
Sensor0,medio,95.8414,96.0351,0.193656
Sensor2,medio,96.2515,96.3356,0.0841928
Sensor4,medio,96.2632,96.3358,0.0726164
Sensor0,medio,96.3413,96.5349,0.193601
Sensor3,medio,96.4571,96.6349,0.177803
Sensor2,medio,96.7514,96.8357,0.0843023
Sensor4,medio,96.7633,96.8358,0.0724883
Sensor1,medio,96.8471,96.9352,0.0880867
Sensor0,medio,96.8413,97.0351,0.193803
Sensor2,medio,97.2515,97.3357,0.0841989
Sensor4,medio,97.2633,97.3359,0.0725728
Sensor0,medio,97.3414,97.5351,0.193641
Sensor3,medio,97.4572,97.6351,0.177871
Sensor2,medio,97.7514,97.8357,0.0843335
Sensor4,medio,97.7631,97.8359,0.0728097
Sensor1,medio,97847,97.9351,0.0880924
Sensor0,medio,97.8414,98.0351,0.193676
Sensor2,medio,98.2513,98.3357,0.0843892
Sensor4,medio,98.2631,98.3359,0.0728327
Sensor0,medio,98.3414,98.5351,0.193668
Sensor3,medio,98457,98.6351,0.178107
Sensor2,medio,98.7513,98.8357,0.0843702
Sensor4,medio,98763,98.8359,0.072879
Sensor1,medio,98.8473,98.9351,0.0877614
Sensor0,medio,98.8413,99.0351,0.193782
Sensor2,medio,99.2514,99.3357,0.084342
Sensor4,medio,99.2631,99.3359,0.0727798
Sensor0,medio,99.3415,99.5351,0.193584
Sensor3,medio,99.4572,99.6351,0.177859
Sensor2,medio,99.7515,99.8357,0.0842496
Sensor4,medio,99.7632,99.8359,0.0727121
Sensor1,medio,99.8471,99.9351,0.0879542
Sensor0,medio,99.8414,100035,0.193718
Sensor2,ruim,100252,100336,0.0841846
Sensor4,ruim,100263,100336,0.0727011
Sensor2,ruim,100355,100435,0.0805566
Sensor0,medio,100341,100536,0.194316
Sensor2,ruim,100454,100536,0.0823381
Sensor2,ruim,100553,100636,0.0823327
Sensor3,medio,100.46,100636,0.176346
Sensor2,ruim,100654,100735,0.0811757
Sensor2,ruim,100753,100836,0.0826639
Sensor4,ruim,100765,100836,0.0706337
Sensor1,ruim,100847,100936,0.0885926
Sensor2,ruim,100855,100936,0.0809784
Sensor0,medio,100841,101036,0.19442
Sensor2,ruim,100955,101036,0.0812014
Sensor2,ruim,101054,101135,0.0811416
Sensor2,ruim,101153,101235,0.0820347
Sensor2,ruim,101253,101336,0.0826239
Sensor4,ruim,101265,101336,0.0704034
Sensor2,ruim,101355,101435,0.0800453
Sensor0,medio,101342,101536,0.194175
Sensor2,ruim,101453,101536,0.0824026
Sensor2,ruim,101555,101636,0.0809309
Sensor3,medio,101.46,101636,0.176034
Sensor2,ruim,101654,101735,0.0809519
Sensor2,ruim,101753,101836,0.0827681
Sensor4,ruim,101765,101836,0.0705371
Sensor1,ruim,101847,101936,0.0883594
Sensor2,ruim,101855,101936,0.0807659
Sensor0,medio,101841,102036,0.194287
Sensor2,ruim,101955,102036,0.0813563
Sensor2,ruim,102054,102135,0.081239
Sensor2,ruim,102152,102235,0.0825922
Sensor2,ruim,102253,102336,0.0828147
Sensor4,ruim,102265,102336,0.0708052
Sensor2,ruim,102355,102435,0.0804358
Sensor0,medio,102342,102536,0.19422
Sensor2,ruim,102454,102536,0.0820097
Sensor2,ruim,102555,102636,0.0804517
Sensor3,medio,102.46,102636,0.175612
Sensor2,ruim,102654,102735,0.0811117
Sensor2,ruim,102753,102836,0.0825879
Sensor4,ruim,102765,102836,0.0705808
Sensor1,ruim,102847,102936,0.0885488
Sensor2,ruim,102854,102936,0.081383
Sensor0,medio,102841,103036,0.194261
Sensor2,ruim,102955,103036,0.0811114
Sensor2,ruim,103054,103135,0.08112
Sensor2,medio,103153,103235,0.0822847
Sensor4,medio,103265,103335,0.0704546
Sensor0,medio,103341,103535,0.19433
Sensor3,medio,103457,103635,0.177727
Sensor2,medio,103652,103735,0.0828364
Sensor4,medio,103765,103835,0.0702587
Sensor1,medio,103846,103935,0.0885209
Sensor0,medio,103841,104035,0.194322
Sensor3,medio,103959,104135,0.176133
Sensor2,medio,104152,104235,0.0825575
Sensor4,medio,104265,104335,0.0701102
Sensor0,medio,104341,104535,0.194264
Sensor3,medio,104457,104635,0.177789
Sensor2,medio,104652,104735,0.0827342
Sensor4,medio,104765,104835,0.0701639
Sensor1,medio,104846,104935,0.0887811
Sensor0,medio,104841,105035,0.194458
Sensor3,medio,104959,105135,0.175949
Sensor2,medio,105152,105235,0.0828167
Sensor4,medio,105265,105335,0.0703012
Sensor0,medio,105341,105535,0.194363
Sensor3,medio,105457,105635,0.17788
Sensor2,medio,105652,105735,0.0826499
Sensor4,medio,105765,105835,0.0700953
Sensor1,medio,105846,105935,0.0886266
Sensor0,medio,105841,106035,0.194227
Sensor3,medio,105959,106135,0.176109
Sensor2,medio,106153,106235,0.0825266
Sensor4,medio,106265,106335,0.0700207
Sensor0,medio,106341,106535,0.194315
Sensor3,medio,106457,106635,0.17784
Sensor2,medio,106652,106735,0.0827281
Sensor4,medio,106765,106835,0.070083
Sensor1,medio,106847,106935,0.0885643
Sensor0,medio,106841,107035,0.194382
Sensor3,medio,106959,107135,0.176088
Sensor2,medio,107152,107235,0.0829289
Sensor4,medio,107265,107335,0.0697817
Sensor0,medio,107341,107535,0.194422
Sensor3,medio,107457,107635,0.177905
Sensor2,medio,107652,107735,0.0826118
Sensor4,medio,107765,107835,0.0702157
Sensor1,medio,107846,107935,0.0886676
Sensor0,medio,107841,108035,0.19435
Sensor3,medio,107959,108135,0.175762
Sensor2,medio,108152,108235,0.0826411
Sensor4,medio,108265,108335,0.0701494
Sensor0,medio,108341,108535,0.194329
Sensor3,medio,108457,108635,0.177743
Sensor2,medio,108652,108735,0.0827241
Sensor4,medio,108765,108835,0.0701071
Sensor1,medio,108846,108935,0.0886106
Sensor0,medio,108841,109035,0.194341
Sensor3,medio,108959,109135,0.175792
Sensor2,medio,109152,109235,0.0828488
Sensor4,medio,109265,109335,0.0702267
Sensor0,medio,109341,109536,0.195273
Sensor3,medio,109464,109636,0.172016
Sensor2,medio,109659,109736,0.0768454
Sensor4,medio,109774,109838,0.063657
Sensor1,medio,109849,109935,0.0860834
Sensor0,medio,109843,110035,0.19168
Sensor3,medio,109962,110137,0.175397
Sensor2,medio,110161,110238,0.0771624
Sensor4,medio,110278,110338,0.0603183
Sensor0,medio,110345,110539,0.193698
Sensor3,medio,110463,110639,0.175992
Sensor2,medio,110663,110737,0.0735864
Sensor4,medio,110773,110835,0.0617611
Sensor1,medio,110847,110937,0.0906137
Sensor0,medio,110841,111036,0.195105
Sensor3,medio,110962,111135,0.172679
Sensor2,medio,111154,111235,0.0811491
Sensor4,medio,111266,111337,0.0705162
Sensor0,medio,111342,111537,0.194759
Sensor3,medio,111457,111635,0.177674
Sensor2,medio,111659,111739,0.0794737
Sensor4,medio,111777,111836,0.0590275
Sensor1,medio,111853,111936,0.0831724
Sensor0,medio,111845,112038,0.192501
Sensor3,medio,111967,112135,0.167963
Sensor2,medio,112153,112235,0.0819766
Sensor4,medio,112265,112335,0.0700777
Sensor0,medio,112342,112535,0.193188
Sensor3,medio,112463,112637,0.173889
Sensor2,medio,112659,112738,0.0787059
Sensor4,medio,112776,112837,0.0606287
Sensor1,medio,112851,112937,0.0862384
Sensor0,medio,112844,113036,0.192053
Sensor3,medio,112964,113139,0.174976
Sensor2,medio,113162,113238,0.0755139
Sensor4,medio,113272,113338,0.0663776
Sensor0,medio,113345,113536,0.190736
Sensor3,medio,113461,113635,0.173641
Sensor2,medio,113655,113736,0.0800806
Sensor4,medio,113766,113835,0.0688688
Sensor1,medio,113847,113935,0.088591
Sensor0,medio,113841,114035,0.194156
Sensor3,medio,113959,114135,0.176117
Sensor2,medio,114152,114235,0.0827691
Sensor4,medio,114274,114338,0.0636519
Sensor0,medio,114344,114536,0.192037
Sensor3,medio,114461,114638,0.177054
Sensor2,medio,114.66,114736,0.0761432
Sensor4,medio,114773,114835,0.061823
Sensor1,medio,114849,114936,0.0869534
Sensor0,medio,114841,115041,0.200424
Sensor3,medio,114964,115139,0.175992
Sensor2,medio,115161,115.24,0.0789297
Sensor4,medio,115281,115335,0.0542861
Sensor0,medio,115341,115535,0.194253
Sensor3,medio,115457,115636,0.178745
Sensor2,medio,115655,115735,0.0804446
Sensor4,medio,115765,115835,0.0700522
Sensor1,medio,115847,115935,0.0884758
Sensor0,medio,115841,116035,0.194183
Sensor3,medio,115959,116135,0.176046
Sensor2,medio,116153,116235,0.0818236
Sensor4,medio,116265,116335,0.0700637
Sensor0,medio,116341,116535,0.194351
Sensor3,medio,116457,116635,0.177797
Sensor2,medio,116653,116735,0.0819925
Sensor4,medio,116768,116837,0.0685223
Sensor1,medio,116849,116935,0.0858064
Sensor0,medio,116843,117035,0.191957
Sensor3,medio,116959,117135,0.176096
Sensor2,medio,117153,117235,0.0822163
Sensor4,medio,117265,117335,0.0702892
Sensor0,medio,117341,117535,0.194328
Sensor3,medio,117457,117635,0.177671
Sensor2,medio,117653,117735,0.0820919
Sensor4,medio,117765,117835,0.0703395
Sensor1,medio,117849,117935,0.086494
Sensor0,medio,117841,118035,0.194563
Sensor3,medio,117966,118138,0.171419
Sensor2,medio,118.16,118235,0.0747422
Sensor4,medio,118265,118337,0.0720376
Sensor0,medio,118343,118.54,0.197276
Sensor3,medio,118463,118639,0.176172
Sensor2,medio,118662,118735,0.0730717
Sensor4,medio,118775,118838,0.0623954
Sensor1,medio,118852,118935,0.0833176
Sensor0,medio,118846,119035,0.189583
Sensor3,medio,118969,119135,0.166344
Sensor2,medio,119153,119235,0.0820263
Sensor4,medio,119265,119335,0.0703464
Sensor0,medio,119341,119535,0.194223
Sensor3,medio,119461,119635,0.173599
Sensor2,medio,119657,119735,0.0783256
Sensor4,medio,119765,119835,0.0702229
Sensor1,medio,119847,119935,0.0884556
Sensor0,medio,119841,120035,0.194375
Sensor3,medio,119959,120135,0.176223
Sensor2,medio,120152,120235,0.0829497
Sensor4,medio,120265,120336,0.0711049
Sensor0,medio,120345,120535,0.190205
Sensor3,medio,120457,120635,0.177817
Sensor2,medio,120652,120735,0.0828151
Sensor4,medio,120765,120835,0.0703119
Sensor1,medio,120846,120935,0.0887468
Sensor0,medio,120841,121035,0.194467
Sensor3,medio,120959,121135,0.176135
Sensor2,medio,121152,121235,0.0827845
Sensor4,medio,121265,121335,0.0702149
Sensor0,medio,121341,121535,0.194453
Sensor3,medio,121457,121635,0.177966
Sensor2,medio,121652,121735,0.0828816
Sensor4,medio,121765,121835,0.0703054
Sensor1,medio,121846,121935,0.0885473
Sensor0,medio,121841,122035,0.194298
Sensor3,medio,121959,122135,0.176182
Sensor2,medio,122152,122235,0.0829
Sensor4,medio,122265,122335,0.0704331
Sensor0,medio,122341,122535,0.194399
Sensor3,medio,122457,122635,0.177879
Sensor2,medio,122652,122735,0.082764
Sensor4,medio,122765,122835,0.0701673
Sensor1,medio,122846,122935,0.0886333
Sensor0,medio,122841,123035,0.194365
Sensor3,medio,122959,123135,0.176186
Sensor2,medio,123152,123235,0.0827123
Sensor4,medio,123265,123335,0.0700865
Sensor0,medio,123341,123535,0.194388
Sensor3,medio,123457,123635,0.177913
Sensor2,medio,123652,123735,0.0826889
Sensor4,medio,123765,123835,0.0703753
Sensor1,medio,123846,123935,0.0886463
Sensor0,medio,123841,124035,0.194406
Sensor3,medio,123959,124135,0.176333
Sensor4,medio,124263,124335,0.0722471
Sensor0,medio,124341,124535,0.19439
Sensor3,medio,124457,124635,0.177912
Sensor2,medio,124652,124735,0.0827121
Sensor4,medio,124765,124835,0.0702069
Sensor1,medio,124846,124935,0.0887809
Sensor0,medio,124841,125035,0.19448
Sensor3,medio,124959,125135,0.17582
Sensor2,medio,125152,125235,0.0827363
Sensor0,medio,125.34,125535,0.19505
Sensor3,medio,125461,125635,0.173914
Sensor2,medio,125661,125737,0.0757492
Sensor4,medio,125773,125835,0.0624751
Sensor1,medio,125847,125936,0.0887346
Sensor0,medio,125842,126037,0.194957
Sensor3,medio,125967,126136,0.168549
Sensor2,medio,126156,126238,0.0819088
Sensor0,medio,126346,126535,0.189216
Sensor3,medio,126461,126636,0.174399
Sensor2,medio,126658,126.74,0.0812881
Sensor4,medio,126783,126835,0.0525141
Sensor1,medio,126848,126935,0.0878932
Sensor0,medio,126842,127035,0.193142
Sensor3,medio,126962,127139,0.177801
Sensor2,medio,127165,127238,0.072935
Sensor0,medio,127343,127537,0.193375
Sensor3,medio,127467,127635,0.168785
Sensor2,medio,127659,127735,0.0765431
Sensor4,medio,127774,127837,0.0636218
Sensor1,medio,127851,127935,0.084124
Sensor0,medio,127845,128035,0.190302
Sensor3,medio,127966,128135,0.168563
Sensor2,medio,128153,128236,0.0836784
Sensor0,medio,128.34,128535,0.194943
Sensor3,medio,128457,128635,0.177814
Sensor2,medio,128652,128735,0.0827632
Sensor4,medio,128765,128837,0.0721636
Sensor1,medio,128.85,128936,0.0866562
Sensor0,medio,128843,129036,0.193481
Sensor3,medio,128962,129137,0.174897
Sensor2,medio,129.16,129236,0.0763482
Sensor0,medio,129342,129536,0.193933
Sensor3,medio,129.46,129637,0.176678
Sensor2,medio,129656,129741,0.0845552
Sensor4,medio,129.78,129835,0.0548988
Sensor1,medio,129848,129935,0.0869671
Sensor0,medio,129842,130.04,0.198286
Sensor3,medio,129967,130138,0.171561
Sensor2,medio,130157,130238,0.0804079
Sensor4,medio,130274,130336,0.0621382
Sensor0,medio,130341,130535,0.193889
Sensor3,medio,130461,130635,0.174296
Sensor2,medio,130656,130736,0.0800844
Sensor1,medio,130847,130936,0.0890537
Sensor0,medio,130841,131038,0.197001
Sensor3,medio,130962,131139,0.176446
Sensor2,medio,131159,131236,0.0771651
Sensor4,medio,131276,131337,0.0607005
Sensor0,medio,131343,131538,0.195212
Sensor3,medio,131462,131637,0.174854
Sensor2,medio,131663,131737,0.0738706
Sensor4,medio,131776,131838,0.0620687
Sensor1,medio,131853,131937,0.0844685
Sensor0,medio,131846,132038,0.192008
Sensor3,medio,131964,132136,0.172158
Sensor2,medio,132156,132235,0.0796952
Sensor4,medio,132274,132339,0.0651869
Sensor0,medio,132348,132537,0.189158
Sensor3,medio,132462,132636,0.173833
Sensor2,medio,132661,132739,0.0786049
Sensor4,ruim,132778,132837,0.0594671
Sensor1,ruim,132853,132939,0.0856728
Sensor4,ruim,132879,132939,0.0606006
Sensor4,ruim,132978,133.04,0.0617763
Sensor3,ruim,132969,133.14,0.170861
Sensor4,ruim,133.08,133.14,0.0601656
Sensor2,ruim,133166,133239,0.0731668
Sensor4,ruim,133185,133239,0.0544627
Sensor4,ruim,133.28,133337,0.0569441
Sensor4,ruim,133378,133436,0.0586845
Sensor0,ruim,133344,133.54,0.195862
Sensor4,ruim,133475,133.54,0.0647705
Sensor3,ruim,133468,133639,0.171676
Sensor4,medio,133585,133.64,0.0554911
Sensor2,medio,133662,133735,0.0737354
Sensor1,medio,133848,133935,0.0869722
Sensor3,medio,133965,134137,0.172333
Sensor4,medio,134074,134137,0.0630182
Sensor2,medio,134163,134237,0.0741996
Sensor0,medio,134344,134537,0.192565
Sensor3,medio,134468,134638,0.169622
Sensor4,medio,134575,134638,0.063328
Sensor2,medio,134664,134738,0.0733327
Sensor1,medio,134849,134937,0.0872249
Sensor3,medio,134968,135137,0.168955
Sensor4,medio,135071,135137,0.0656628
Sensor2,medio,135.16,135239,0.0789316
Sensor0,medio,135341,135538,0.197558
Sensor3,medio,135459,135.64,0.180794
Sensor4,medio,135574,135.64,0.0661109
Sensor2,medio,135662,135736,0.0747953
Sensor1,medio,135848,135935,0.0875148
Sensor3,medio,135966,136139,0.172826
Sensor4,medio,136072,136.14,0.067594
Sensor2,medio,136162,136237,0.0757033
Sensor1,medio,136347,136436,0.0898201
Sensor0,medio,136341,136535,0.194114
Sensor3,medio,136462,136638,0.175775
Sensor1,medio,136848,136935,0.087157
Sensor3,medio,136965,137136,0.17183
Sensor4,medio,137071,137137,0.0666418
Sensor2,medio,137155,137238,0.0827522
Sensor1,medio,137352,137.44,0.0877476
Sensor0,medio,137345,137535,0.190525
Sensor3,medio,137474,137639,0.165698
Sensor1,medio,137851,137936,0.0856049
Sensor3,medio,137967,138138,0.171157
Sensor4,medio,138.07,138139,0.0690436
Sensor2,medio,138161,138236,0.0751871
Sensor1,medio,138.35,138435,0.0857158
Sensor0,medio,138343,138535,0.191798
Sensor3,medio,138466,138639,0.172998
Sensor1,medio,138848,138935,0.0873172
Sensor3,medio,138966,139138,0.172341
Sensor4,medio,139072,139139,0.0669411
Sensor2,medio,139163,139237,0.074777
Sensor1,medio,139352,139438,0.0857545
Sensor0,medio,139344,139537,0.192437
Sensor3,medio,139463,139637,0.174132
Sensor4,medio,139573,139637,0.0644059
Sensor1,medio,139846,139935,0.0888517
Sensor3,medio,139959,140137,0.177715
Sensor4,medio,140074,140137,0.0635904
Sensor2,medio,140157,140237,0.0804176
Sensor1,medio,140349,140437,0.0881311
Sensor0,medio,140342,140535,0.193183
Sensor3,medio,140465,140637,0.172305
Sensor4,medio,140567,140638,0.0710008
Sensor1,medio,140.85,140938,0.0880234
Sensor3,medio,140965,141.14,0.175282
Sensor4,medio,141074,141.14,0.0662919
Sensor2,medio,141165,141237,0.072522
Sensor1,medio,141.35,141438,0.0871104
Sensor0,medio,141342,141536,0.194838
Sensor3,medio,141467,141638,0.17069
Sensor4,medio,141576,141639,0.0624999
Sensor1,medio,141849,141937,0.0885435
Sensor3,medio,141968,142136,0.167868
Sensor4,medio,142.07,142136,0.0664901
Sensor2,medio,142159,142237,0.0777163
Sensor1,medio,142352,142437,0.0856431
Sensor0,medio,142344,142539,0.194927
Sensor3,medio,142468,142638,0.169997
Sensor4,medio,142573,142639,0.0660341
Sensor1,medio,142848,142935,0.0867371
Sensor3,medio,142962,143136,0.174139
Sensor4,medio,143069,143137,0.0678562
Sensor2,medio,143159,143.24,0.0816752
Sensor1,medio,143.35,143437,0.0866413
Sensor0,medio,143343,143535,0.1919
Sensor3,medio,143467,143639,0.172392
Sensor4,medio,143573,143639,0.0666074
Sensor1,medio,143852,143938,0.0859415
Sensor3,medio,143964,144138,0.173524
Sensor4,medio,144069,144138,0.0684886
Sensor2,medio,144158,144235,0.0770887
Sensor1,medio,144.35,144438,0.0881585
Sensor0,medio,144344,144.54,0.19602
Sensor3,medio,144469,144.64,0.170985
Sensor4,medio,144582,144.64,0.0577317
Sensor1,medio,144.85,144935,0.0851213
Sensor3,medio,144965,145136,0.170855
Sensor4,medio,145071,145136,0.06512
Sensor2,medio,145158,145235,0.0776686
Sensor1,medio,145349,145437,0.0882363
Sensor0,medio,145341,145535,0.193871
Sensor3,medio,145462,145639,0.177142
Sensor4,medio,145.57,145639,0.069634
