Sensor remetente, Estado do Paciente, Enviado às (s), Processado às (s), Diff (s)
Sensor4,ruim,22.7661,22.8372,0.0710833
Sensor1,ruim,22849,22935,0.0860334
Sensor1,ruim,22.9465,23.0357,0.0892263
Sensor3,ruim,22.8621,23.0359,0.173783
Sensor1,ruim,23.0472,23135,0.0878074
Sensor1,ruim,23.1464,23235,0.0886146
Sensor1,ruim,23.2464,23.3358,0.0893473
Sensor4,ruim,23.2649,23336,0.0710957
Sensor1,ruim,23.3472,23.4351,0.0878776
Sensor1,ruim,23.4464,23.5358,0.0893309
Sensor3,ruim,23.3602,23.5359,0.175704
Sensor1,ruim,23.5473,23.6358,0.0884793
Sensor3,ruim,23.4596,23.6359,0.176344
Sensor1,ruim,23.6473,23.7358,0.0884862
Sensor3,ruim,23.5596,23.7359,0.176313
Sensor0,ruim,23.6414,23.8378,0.196397
Sensor1,ruim,23.7473,23.8379,0.0905746
Sensor2,ruim,23.7545,23838,0.0835201
Sensor3,ruim,23.6612,23.8381,0.176876
Sensor4,ruim,23.7677,23.8382,0.0704469
Sensor1,ruim,23.8495,23.9358,0.0862517
Sensor3,ruim,23.7609,23.9359,0.174975
Sensor1,ruim,23.9474,24.0357,0.0883808
Sensor3,ruim,23.8634,24.0359,0.172493
Sensor1,ruim,24.0472,24.1357,0.0884673
Sensor3,ruim,23.9607,24.1359,0.175165
Sensor1,ruim,24.1472,24.2357,0.0885505
Sensor3,ruim,24.0606,24.2359,0.175321
Sensor1,ruim,24.2474,24.3364,0.0889991
Sensor3,ruim,24.1594,24.3365,0.177136
Sensor4,ruim,24268,24.3366,0.0686044
Sensor1,ruim,24348,24.4357,0.0877847
Sensor3,ruim,24.2608,24.4359,0.17511
Sensor3,ruim,24.3617,24535,0.173296
Sensor3,ruim,24.4598,24635,0.175192
Sensor3,medio,24.5591,24735,0.175951
Sensor0,medio,24.6406,24.8363,0.195752
Sensor2,medio,24.7529,24.8365,0.0835036
Sensor4,medio,24.7651,24.8366,0.0715001
Sensor1,medio,24.8482,24935,0.0868574
Sensor3,medio,25.0571,25.2349,0.177842
Sensor4,medio,25264,25335,0.0709944
Sensor1,medio,25.3463,25.4349,0.0885798
Sensor3,medio,25557,25735,0.177932
Sensor0,medio,25.6399,25.8364,0.196486
Sensor2,medio,25.7524,25.8365,0.0840715
Sensor4,medio,25.7646,25.8366,0.0720642
Sensor1,medio,25.8482,25935,0.0867965
Sensor3,medio,26057,26.2349,0.177949
Sensor4,medio,26.2639,26335,0.0710908
Sensor1,medio,26.3464,26.4351,0.0886973
Sensor3,medio,26557,26735,0.178058
Sensor0,medio,26.6398,26.8366,0.196712
Sensor2,medio,26.7524,26.8367,0.08432
Sensor4,medio,26.7646,26.8368,0.0721783
Sensor1,medio,26.8482,26935,0.0868257
Sensor3,medio,27057,27.2351,0.178123
Sensor4,medio,27.2639,27335,0.0710887
Sensor1,medio,27.3462,27435,0.08882
Sensor3,ruim,27.5572,27735,0.177825
Sensor0,medio,27.6399,27.8369,0.197033
