@relation 'NOTRT-bodyhub_5,10,20_sensores'

@attribute 'Sensor remetente' {Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19}
@attribute ' Estado do Paciente' {bom,medio,ruim}
@attribute ' Enviado as (s)' numeric
@attribute ' Processado as (s)' numeric
@attribute ' Diff (s)' numeric
@attribute 'Numero de Sensores' {five,ten,twenty}
@attribute 'Real-time Mode' {'Real-time OFF'}
@attribute 'Cycle Time Constraint' {SATISFIED,VIOLATED}
@attribute 'Emergency Detection time Constraint' {SATISFIED,VIOLATED}

@data
Sensor0,bom,3.79232,3.88705,0.09473,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,bom,4.79196,4.88687,0.09492,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,bom,5792,5.88655,0.09455,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,bom,6.79186,6.8864,0.09454,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,bom,7.7923,7.88698,0.09467,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,medio,8.79183,8.88593,0.0941,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,medio,9.29096,9.38999,0.09903,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,medio,9.79878,9.8939,0.09512,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,medio,10.2957,10.3929,0.09718,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,medio,10.7986,10893,0.09439,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,medio,12.2674,12.3641,0.09675,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,medio,12729,12.8235,0.09454,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,13.2311,13.3245,0.09348,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,13.3319,13.4254,0.09354,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,13.4325,13.5243,0.09181,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,13.5317,13.6253,0.0936,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,13.6325,13.7252,0.09267,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,13.7326,13.8257,0.09312,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,13.8332,13.9254,0.09222,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,13.9329,14.0258,0.09295,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,14.0331,14.1262,0.09317,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,14134,14.2272,0.09328,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,14.2344,14.3246,0.0902,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,14332,14.4264,0.0944,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,14.4333,14.5242,0.09095,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,14531,14.6221,0.09103,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,14.6291,14.7251,0.09605,five,'Real-time OFF',SATISFIED,SATISFIED
Sensor0,ruim,14.7319,14.8244,0.09255,five,'Real-time OFF',SATISFIED,SATISFIED
