﻿Sensor remetente, Estado do Paciente, Enviado às (s), Processado às (s), Diff (s),Sensors,Cycle Time Constraint,Emergency Detection Time Constraint
Sensor0,ruim,6.08628,6.1812,0.09492,ten,SATISFIED,SATISFIED
Sensor0,bom,7.28626,7.38111,0.09486,ten,SATISFIED,SATISFIED
Sensor0,medio,9.78624,9.88111,0.09487,ten,SATISFIED,SATISFIED
Sensor0,bom,9.88713,9.98109,0.09395,ten,SATISFIED,SATISFIED
Sensor0,medio,13.0961,13.1489,0.05283,ten,SATISFIED,SATISFIED
Sensor0,ruim,13.2744,13.3289,0.05448,ten,SATISFIED,SATISFIED
Sensor0,ruim,13.6411,13.6986,0.05749,ten,SATISFIED,SATISFIED
Sensor0,ruim,13.8911,13.9476,0.05654,ten,SATISFIED,SATISFIED
Sensor0,ruim,13.9546,14.0098,0.05515,ten,SATISFIED,SATISFIED
Sensor0,ruim,16.7863,16.8813,0.09492,ten,SATISFIED,SATISFIED
Sensor0,medio,18.1871,18.2818,0.09468,ten,SATISFIED,SATISFIED
Sensor0,ruim,18.288,18.3819,0.09389,ten,SATISFIED,SATISFIED
Sensor0,ruim,19.0865,19.182,0.09542,ten,SATISFIED,SATISFIED
Sensor0,medio,19.4863,19.5813,0.09496,ten,SATISFIED,SATISFIED
Sensor0,bom,19.5873,19.6812,0.09394,ten,SATISFIED,SATISFIED
Sensor0,ruim,22.6865,22.7813,0.09481,ten,SATISFIED,SATISFIED
Sensor0,ruim,22.9871,23.0813,0.09414,ten,SATISFIED,SATISFIED
Sensor0,ruim,23.2864,23.3812,0.09482,ten,SATISFIED,SATISFIED
Sensor0,ruim,34.1868,34.2818,0.09505,ten,SATISFIED,SATISFIED
Sensor0,ruim,34.288,34.3823,0.09434,ten,SATISFIED,SATISFIED
Sensor0,medio,34.3887,34.4816,0.0929,ten,SATISFIED,SATISFIED
Sensor0,medio,34.4876,34.5833,0.09568,ten,SATISFIED,SATISFIED
Sensor0,ruim,37.2865,37.3824,0.09598,ten,SATISFIED,SATISFIED
Sensor0,ruim,37.3888,37.4837,0.09487,ten,SATISFIED,SATISFIED
Sensor0,ruim,43.8865,43.982,0.0955,ten,SATISFIED,SATISFIED
Sensor0,ruim,44.0866,44.1822,0.09556,ten,SATISFIED,SATISFIED
Sensor0,ruim,44.2879,44.3821,0.09415,ten,SATISFIED,SATISFIED
Sensor0,ruim,47.3861,47.4824,0.09622,ten,SATISFIED,SATISFIED
Sensor0,medio,48.3888,48.4812,0.09242,ten,SATISFIED,SATISFIED
Sensor0,bom,48.4881,48.5812,0.09308,ten,SATISFIED,SATISFIED
Sensor0,ruim,56.7872,56.8812,0.09399,ten,SATISFIED,SATISFIED
Sensor0,medio,57.1872,57.2812,0.09399,ten,SATISFIED,SATISFIED
Sensor0,bom,57.2872,57.3813,0.09405,ten,SATISFIED,SATISFIED
Sensor0,medio,58.1881,58.2818,0.09368,ten,SATISFIED,SATISFIED
Sensor0,ruim,58.4863,58.5824,0.09606,ten,SATISFIED,SATISFIED
Sensor0,bom,58.6872,58.7818,0.09466,ten,SATISFIED,SATISFIED
Sensor0,ruim,60.0864,60.1812,0.0948,ten,SATISFIED,SATISFIED
Sensor0,medio,61.0863,61.1812,0.09488,ten,SATISFIED,SATISFIED
Sensor0,bom,61.1872,61.2812,0.09402,ten,SATISFIED,SATISFIED
Sensor0,medio,61.2872,61.3812,0.09403,ten,SATISFIED,SATISFIED
Sensor0,bom,61.3872,61.4819,0.09468,ten,SATISFIED,SATISFIED
Sensor0,ruim,65.9864,66.0818,0.09536,ten,SATISFIED,SATISFIED
Sensor0,medio,66.5867,66.6834,0.09669,ten,SATISFIED,SATISFIED
Sensor0,bom,66.8862,66.9812,0.09499,ten,SATISFIED,SATISFIED
Sensor0,ruim,67.2871,67.3813,0.09414,ten,SATISFIED,SATISFIED
Sensor0,medio,68.8862,68.9812,0.09496,ten,SATISFIED,SATISFIED
Sensor0,bom,69.3872,69.4813,0.09412,ten,SATISFIED,SATISFIED
Sensor0,medio,75.2863,75.3813,0.09498,ten,SATISFIED,SATISFIED
Sensor0,ruim,75.8863,75.9818,0.0955,ten,SATISFIED,SATISFIED
Sensor0,medio,78.0874,78.1834,0.09669,ten,SATISFIED,SATISFIED
Sensor0,ruim,78.3888,78.4849,0.09602,ten,SATISFIED,SATISFIED
Sensor0,ruim,79.8881,79.9814,0.09322,ten,SATISFIED,SATISFIED
Sensor0,bom,80.4879,80.5825,0.09462,ten,SATISFIED,SATISFIED
Sensor0,medio,80.5885,80.6825,0.09399,ten,SATISFIED,SATISFIED
Sensor0,bom,80.6885,80.7826,0.09408,ten,SATISFIED,SATISFIED
Sensor0,medio,81.9888,82.0819,0.09312,ten,SATISFIED,SATISFIED
Sensor0,bom,82.1872,82.2819,0.0947,ten,SATISFIED,SATISFIED
Sensor0,ruim,85.9929,86.0831,0.09013,ten,SATISFIED,SATISFIED
Sensor0,ruim,86.2885,86.3832,0.09467,ten,SATISFIED,SATISFIED
Sensor0,ruim,86.3894,86.4829,0.09352,ten,SATISFIED,SATISFIED
Sensor0,ruim,86.688,86.7832,0.09513,ten,SATISFIED,SATISFIED
Sensor0,medio,95.5863,95.6827,0.09636,ten,SATISFIED,SATISFIED
Sensor0,medio,95.6899,95.7823,0.09241,ten,SATISFIED,SATISFIED
Sensor0,ruim,99.2863,99.3825,0.09614,ten,SATISFIED,SATISFIED
Sensor0,medio,100.587,100.682,0.09453,ten,SATISFIED,SATISFIED
Sensor0,medio,100.688,100.782,0.09373,ten,SATISFIED,SATISFIED
Sensor0,ruim,108.388,108.482,0.09361,ten,SATISFIED,SATISFIED
Sensor0,ruim,108.49,108.582,0.09282,ten,SATISFIED,SATISFIED
Sensor0,ruim,108.887,108.982,0.09538,ten,SATISFIED,SATISFIED
Sensor0,ruim,108.99,109.081,0.09185,ten,SATISFIED,SATISFIED
Sensor0,medio,109.888,109.982,0.09343,ten,SATISFIED,SATISFIED
Sensor0,ruim,110.088,110.181,0.09291,ten,SATISFIED,SATISFIED
Sensor0,medio,110.987,111.082,0.09472,ten,SATISFIED,SATISFIED
Sensor0,bom,111.287,111.381,0.09472,ten,SATISFIED,SATISFIED
Sensor0,medio,112.287,112.382,0.09491,ten,SATISFIED,SATISFIED
Sensor0,ruim,112.586,112.682,0.09552,ten,SATISFIED,SATISFIED
Sensor0,ruim,113.786,113.881,0.09487,ten,SATISFIED,SATISFIED
Sensor0,ruim,113.887,113.981,0.09401,ten,SATISFIED,SATISFIED
Sensor0,ruim,130.389,130.481,0.09173,ten,SATISFIED,SATISFIED
Sensor0,ruim,131.186,131.282,0.09551,ten,SATISFIED,SATISFIED
Sensor0,medio,131.288,131.383,0.09507,ten,SATISFIED,SATISFIED
Sensor0,ruim,134.487,134.581,0.09391,ten,SATISFIED,SATISFIED
Sensor0,ruim,137.787,137.882,0.0948,ten,SATISFIED,SATISFIED
Sensor0,ruim,137.986,138.082,0.09572,ten,SATISFIED,SATISFIED
Sensor0,ruim,138.486,138.582,0.09622,ten,SATISFIED,SATISFIED
Sensor0,ruim,138.589,138.682,0.09304,ten,SATISFIED,SATISFIED
Sensor0,ruim,138.887,138.982,0.09479,ten,SATISFIED,SATISFIED
Sensor0,medio,138.988,139.081,0.09321,ten,SATISFIED,SATISFIED
Sensor0,bom,139.186,139.282,0.09552,ten,SATISFIED,SATISFIED
Sensor0,medio,140.288,140.382,0.09362,ten,SATISFIED,SATISFIED
Sensor0,ruim,140.588,140.682,0.09409,ten,SATISFIED,SATISFIED
Sensor0,medio,146.587,146.682,0.09469,ten,SATISFIED,SATISFIED
