Tref:,1514232113,0.888246,=B1+C1

Sensor Sender ID, Patient Health Status, Detected Emergency?, T bodyhub.processed (s), T sensornode.collected (s), delta (s)
0,medium,false,13.6135,13.5185,0.095035
2,bad,true,14.1133,14.0297,0.0835871
3,bad,true,18.1134,18.0366,0.0767047
4,bad,true,19.1136,19.0415,0.0720082
5,bad,false,21.1133,21.0475,0.0658207
6,bad,true,22.4133,22.3528,0.0605108
0,bad,false,23.6132,23.5185,0.0947416
9,bad,true,25.4132,25.3705,0.0427005
3,bad,false,27.2132,27.1358,0.0773915
5,bad,false,31.1141,31.0484,0.0657627
6,bad,false,31.5134,31.454,0.0593833
2,bad,false,33.3132,33.2305,0.0826362
7,bad,true,34.4132,34.3586,0.0545351
0,bad,true,34.6137,34.5187,0.0950247
8,bad,true,35.5134,35.4649,0.0484888
1,bad,false,37.6133,37.4243,0.188958
3,bad,true,38.2135,38.1355,0.07802
4,bad,false,38.3133,38.2438,0.0694784
6,bad,false,42.5134,42.4539,0.0595281
7,bad,false,43.6134,43.5585,0.0549479
3,bad,false,47.4137,47.3357,0.0780051
1,bad,false,47.6134,47.4256,0.187782
6,bad,true,52.0133,51.9534,0.0599053
7,bad,false,54.6135,54.5626,0.0509004
9,bad,false,54.7133,54.6733,0.0400276
2,bad,false,55.3134,55.2302,0.0832128
3,bad,true,58.4134,58.3363,0.0770838
1,bad,false,58.6134,58.4253,0.188178
4,bad,true,59.3135,59.2416,0.0718298
5,bad,false,64.1133,64.0477,0.0655582
7,bad,true,64.6132,64.559,0.0541953
2,bad,false,64.8143,64.7309,0.0834039
8,bad,false,64.8145,64.7666,0.0478759
3,bad,false,67.5134,67.4356,0.0777923
1,bad,false,68.6134,68.4245,0.188916
2,bad,true,75.8134,75.73,0.0833564
9,bad,true,76.7133,76.6709,0.042421
3,bad,true,78.5138,78.436,0.0778623
1,bad,true,79.6134,79.4243,0.189109
0,bad,false,84.1139,84.0186,0.0953131
5,bad,true,84.114,84.048,0.066054
7,bad,false,84.3133,84.2603,0.0529555
9,bad,false,85.9133,85.8711,0.0422099
1,bad,false,88.8132,88.6241,0.189067
5,bad,false,93.7134,93.6474,0.0659658
0,bad,true,94.6134,94.5185,0.0948907
9,bad,false,96.9132,96.8706,0.0425978
3,bad,false,97.8134,97.7361,0.0772854
1,bad,false,99.3134,99.1243,0.189106
5,bad,true,104.213,104.148,0.064964
7,bad,true,104.813,104.759,0.0537739
1,bad,true,110.313,110.124,0.18907
6,bad,false,111.914,111.854,0.0595448
5,bad,false,113.813,113.748,0.0656871
9,bad,true,116.413,116.372,0.0416648
4,bad,false,119.113,119.042,0.0713914
5,bad,true,124.313,124.248,0.0656895
0,bad,false,124.413,124.319,0.0939614
1,bad,false,129.514,129.324,0.18971
8,bad,true,129.813,129.765,0.047962
5,bad,false,133.914,133.847,0.066883
6,bad,true,133.914,133.853,0.060971
7,bad,false,134.613,134.559,0.0545958
2,bad,false,135.213,135.13,0.0837331
8,bad,false,139.013,138.965,0.048011
6,bad,false,143.013,142.953,0.060002
5,bad,false,144.413,144.347,0.0660384
9,medium,false,146.213,146.171,0.0427225
0,bad,true,146.413,146.319,0.0947524
8,bad,true,150.013,149.965,0.0486864
4,bad,true,151.113,151.041,0.0720095
1,bad,true,151.513,151.324,0.188876
3,bad,true,151.813,151.736,0.0778224
6,bad,true,154.013,153.953,0.0601076
5,bad,true,155.414,155.347,0.0663872
7,bad,true,155.613,155.56,0.0535565
2,bad,true,156.213,156.13,0.0829106
9,bad,false,156.713,156.671,0.0420442
8,bad,false,159.113,159.068,0.0455821
4,bad,false,160.213,160.143,0.0702965
5,bad,false,164.513,164.447,0.0660327
7,bad,false,164.713,164.661,0.0525582
0,bad,false,165.513,165.418,0.0948443
9,bad,true,167.713,167.671,0.0426589
8,bad,true,170.113,170.065,0.0482907
4,bad,false,170.713,170.643,0.0707801
3,bad,false,171.113,171.036,0.0774793
5,bad,true,175.513,175.448,0.0652448
0,bad,true,176.513,176.418,0.0949201
8,bad,false,179.213,179.165,0.0479936
1,bad,false,180.713,180.524,0.18885
4,bad,true,181.713,181.642,0.071262
3,bad,false,182.113,182.036,0.0769637
6,bad,false,183.313,183.254,0.0594729
5,bad,false,184.613,184.548,0.0651488
7,bad,false,185.213,185.159,0.054071
2,bad,false,185.413,185.33,0.0831921
9,bad,false,186.914,186.871,0.0423152
8,bad,true,189.713,189.665,0.048579
4,bad,false,190.913,190.842,0.0717433
1,bad,false,191.713,191.524,0.189076
5,bad,true,195.113,195.048,0.0657059
2,bad,true,195.913,195.83,0.0833112
7,bad,true,196.213,196.16,0.0533368
8,bad,false,199.313,199.265,0.048437
6,bad,true,204.313,204.253,0.0599303
7,bad,false,205.413,205.359,0.0539196
2,bad,false,205.514,205.432,0.081302
0,bad,false,205.713,205.619,0.0947555
8,bad,false,210.313,210.266,0.0473041
1,bad,false,211.713,211.524,0.189091
4,bad,false,211.913,211.841,0.0721482
3,bad,true,212.613,212.536,0.077858
5,bad,false,214.813,214.747,0.0659761
2,bad,false,216.013,215.93,0.0832586
0,bad,true,216.713,216.618,0.0948403
9,bad,true,218.914,218.871,0.0424943
8,bad,false,219.813,219.765,0.0482126
3,bad,false,222.213,222.136,0.0775693
1,bad,true,222.713,222.524,0.189039
4,bad,true,222.913,222.841,0.0718402
5,bad,true,225.813,225.748,0.065053
7,bad,true,225.914,225.862,0.0521164
2,bad,true,227.014,226.93,0.0839777
9,bad,false,228.113,228.071,0.0426207
8,bad,true,230.813,230.765,0.0487316
1,bad,false,231.913,231.725,0.18837
4,bad,false,232.013,231.943,0.0704978
6,bad,false,233.513,233.454,0.0597512
5,bad,false,234.913,234.848,0.0654013
2,bad,false,236.213,236.13,0.0829321
8,bad,false,239.913,239.866,0.0473486
1,bad,false,242.913,242.724,0.188989
4,bad,true,243.013,242.943,0.0706346
3,bad,true,243.213,243.136,0.0774184
6,bad,true,244.013,243.954,0.0590165
7,bad,false,245.713,245.66,0.0537696
5,bad,false,245.913,245.847,0.066195
2,bad,true,247.213,247.13,0.0832016
8,bad,true,250.413,250.365,0.0488013
1,bad,true,252.413,252.224,0.188939
6,bad,false,253.713,253.653,0.0601754
5,bad,true,255.413,255.348,0.0655394
0,bad,false,256.013,255.918,0.094902
8,bad,false,260.114,260.065,0.0495126
9,bad,true,260.114,260.07,0.0437785
6,bad,false,264.213,264.154,0.0594168
5,bad,false,265.113,265.047,0.0657588
0,bad,false,266.513,266.418,0.0950088
7,bad,true,267.713,267.659,0.0540421
8,bad,true,271.113,271.066,0.0476355
1,bad,false,272.213,272.024,0.189022
3,bad,false,272.913,272.836,0.0773188
6,bad,true,275.213,275.154,0.0597632
5,bad,false,275.613,275.547,0.0658276
2,bad,false,276.513,276.43,0.0832564
8,bad,false,280.313,280.264,0.0487715
4,bad,false,282.413,282.341,0.0722692
1,bad,true,283.213,283.024,0.189119
3,bad,true,283.913,283.836,0.0773572
6,bad,false,284.413,284.353,0.0604116
5,bad,true,286.613,286.547,0.0661748
7,bad,false,286.813,286.76,0.0539185
0,bad,true,287.513,287.418,0.0950067
3,bad,false,293.013,292.936,0.0775199
6,bad,false,294.913,294.853,0.0601091
2,bad,false,297.013,296.93,0.0833463
1,bad,false,302.313,302.124,0.18897
4,bad,true,303.413,303.342,0.0713205
0,bad,false,306.813,306.718,0.0948676
9,bad,false,309.413,309.371,0.0422377
8,bad,true,312.313,312.265,0.048401
4,bad,false,312.613,312.541,0.0718749
1,bad,true,312.813,312.625,0.188044
3,bad,true,315.013,314.936,0.0777673
6,bad,true,316.913,316.854,0.0596637
0,bad,true,317.813,317.719,0.0948175
7,bad,false,318.813,318.76,0.0536397
9,bad,true,320.413,320.371,0.0421212
3,bad,false,324.113,324.036,0.0776319
0,bad,false,327.013,326.918,0.0949165
7,bad,false,328.814,328.76,0.0537592
2,bad,false,329.013,328.93,0.0833028
8,bad,false,331.513,331.465,0.0480379
1,bad,false,332.513,332.324,0.189194
4,bad,true,333.613,333.541,0.0718649
3,bad,true,334.613,334.536,0.0774588
0,bad,true,338.013,337.918,0.0950139
2,bad,false,339.013,338.93,0.0834656
9,bad,false,339.613,339.571,0.0423601
1,bad,false,343.513,343.324,0.188935
3,bad,false,344.213,344.136,0.0773005
6,bad,false,346.213,346.153,0.060277
0,bad,false,347.113,347.019,0.0948003
2,bad,true,350.013,349.93,0.0837148
9,bad,true,350.613,350.57,0.0429936
7,bad,true,350.813,350.759,0.0544842
4,bad,false,352.913,352.842,0.0710323
1,bad,true,353.013,352.824,0.189005
3,bad,true,354.713,354.636,0.0774871
5,bad,false,356.013,355.947,0.0659434
6,bad,true,357.213,357.153,0.0601659
0,bad,true,358.113,358.018,0.0949194
2,bad,false,359.113,359.03,0.0833271
7,bad,false,359.913,359.859,0.0541077
8,bad,true,362.513,362.465,0.0485309
1,bad,false,362.713,362.525,0.187885
3,bad,false,364.313,364.236,0.0772351
6,bad,false,366.413,366.353,0.0604087
5,bad,true,367.013,366.948,0.0658022
0,bad,false,367.213,367.118,0.0949545
9,bad,false,369.813,369.771,0.0427093
2,bad,true,370.113,370.03,0.083867
1,bad,true,373.713,373.524,0.189233
3,bad,true,374.813,374.736,0.0775609
4,bad,false,374.913,374.843,0.0704488
6,bad,true,377.413,377.353,0.0601216
0,bad,false,377.713,377.618,0.0948134
9,bad,true,380.813,380.771,0.0427655
7,bad,true,381.913,381.859,0.0543968
1,bad,false,382.813,382.625,0.188717
0,bad,true,388.714,388.619,0.0954321
1,bad,false,393.813,393.625,0.188715
3,bad,false,394.513,394.436,0.077465
4,bad,false,394.913,394.842,0.0710769
5,bad,false,396.213,396.149,0.0648282
6,bad,false,396.713,396.653,0.0604511
0,bad,false,397.813,397.718,0.0950102
2,bad,false,399.313,399.23,0.0830442
7,bad,false,401.213,401.159,0.0543512
8,bad,false,402.313,402.265,0.0487656
4,bad,false,405.913,405.841,0.0721895
5,bad,true,407.213,407.147,0.0661241
0,bad,true,408.813,408.718,0.0949046
2,bad,true,410.313,410.23,0.083478
7,bad,false,412.213,412.159,0.0542056
8,bad,true,412.813,412.765,0.0485805
1,bad,true,414.313,414.124,0.189208
4,bad,true,415.413,415.342,0.071823
6,bad,true,417.713,417.654,0.0589957
7,bad,false,422.214,422.16,0.0536166
1,bad,false,424.013,423.824,0.189036
3,bad,true,426.513,426.436,0.0774825
2,bad,false,429.513,429.43,0.083432
7,bad,false,433.213,433.159,0.0542719
1,bad,true,435.014,434.824,0.189221
3,bad,false,435.613,435.536,0.0777782
5,bad,false,436.513,436.447,0.0660206
9,bad,false,440.213,440.171,0.0425299
2,bad,false,440.513,440.43,0.0836862
8,bad,false,442.613,442.565,0.0486993
7,bad,false,443.213,443.159,0.0540809
6,bad,false,446.913,446.853,0.0604518
5,bad,true,447.513,447.447,0.0658827
4,bad,false,455.413,455.342,0.0717268
5,bad,false,456.713,456.647,0.0661144
0,bad,false,458.213,458.118,0.0948694
2,bad,true,461.013,460.93,0.083659
9,bad,true,461.213,461.17,0.0429963
8,bad,false,463.613,463.565,0.048442
7,bad,true,465.213,465.159,0.0543572
5,bad,false,467.213,467.148,0.0657418
3,bad,true,467.613,467.536,0.0774195
9,bad,false,470.813,470.771,0.0426614
8,bad,false,473.113,473.065,0.0486032
1,bad,false,474.313,474.124,0.189062
7,bad,false,474.413,474.361,0.0527208
3,bad,false,476.713,476.636,0.0776095
0,bad,false,479.213,479.119,0.0947843
2,medium,false,480.713,480.63,0.083454
9,medium,false,481.313,481.27,0.0430542
