Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor1,bom,149707,149947,0.240026
Sensor1,bom,150921,151161,0.24016
Sensor1,bom,152135,152375,0.239885
Sensor1,bom,153.35,153588,0.238125
Sensor1,bom,154563,154803,0.240669
Sensor1,bom,155776,156014,0.237991
Sensor1,bom,156987,157225,0.238128
Sensor1,bom,158197,158436,0.239585
Sensor1,bom,159409,159649,0.24005
Sensor1,bom,160625,160862,0.237678
Sensor1,bom,161838,162077,0.239243
Sensor1,bom,163.05,163289,0.238333
Sensor1,bom,164262,164.5,0.238567
Sensor1,bom,165476,165715,0.238397
Sensor1,bom,166689,166929,0.239951
Sensor1,bom,167907,168149,0.241884
Sensor1,bom,169128,169366,0.238221
Sensor1,bom,170341,170.58,0.239008
Sensor1,bom,171553,171792,0.23908
Sensor1,bom,172767,173006,0.238564
Sensor1,bom,173.98,174219,0.238868
Sensor1,bom,175193,175432,0.239373
Sensor1,bom,176407,176647,0.240102
Sensor1,bom,177623,177863,0.240122
Sensor1,bom,178837,179077,0.240024
Sensor1,bom,180057,180295,0.238458
Sensor1,bom,181269,181.51,0.240914
Sensor1,bom,182485,182724,0.238784
Sensor1,bom,183701,183.94,0.238826
Sensor1,bom,184916,185155,0.238924
Sensor1,bom,186127,186367,0.240242
Sensor1,bom,187341,187581,0.240308
Sensor1,bom,188553,188792,0.23845
Sensor1,bom,189764,190002,0.237704
Sensor1,bom,190976,191213,0.237788
Sensor1,bom,192191,192431,0.240378
Sensor1,bom,193407,193645,0.237909
Sensor1,bom,194621,194861,0.240263
Sensor1,bom,195837,196076,0.239016
Sensor1,bom,197051,197289,0.237943
Sensor1,bom,198265,198503,0.238456
Sensor1,bom,199477,199715,0.238628
Sensor1,bom,200688,200928,0.239295
Sensor1,bom,201904,202144,0.239771
Sensor1,bom,203116,203354,0.237818
Sensor1,bom,204328,204568,0.239099
Sensor1,bom,205538,205779,0.240974
Sensor1,bom,206756,206995,0.23941
Sensor1,bom,207969,208209,0.240326
Sensor1,bom,209184,209423,0.239375
Sensor1,bom,210398,210636,0.237886
Sensor1,bom,211611,211851,0.24013
Sensor1,bom,212825,213065,0.239929
Sensor1,bom,214043,214282,0.238776
Sensor1,bom,215259,215499,0.24003
Sensor1,bom,216473,216.71,0.237293
Sensor1,bom,217685,217924,0.238848
Sensor1,bom,218897,219134,0.237857
Sensor1,bom,220107,220347,0.239977
Sensor1,bom,221319,221557,0.237708
Sensor1,bom,222528,222765,0.237565
Sensor1,bom,223739,223979,0.240285
Sensor1,bom,224951,225.19,0.238791
Sensor1,bom,226164,226404,0.240178
Sensor1,bom,227377,227617,0.239913
Sensor1,bom,228589,228828,0.239312
Sensor1,bom,229804,230042,0.23821
Sensor1,bom,231018,231256,0.237709
Sensor1,bom,232229,232469,0.240195
Sensor1,bom,233443,233.68,0.2373
Sensor1,bom,234651,234889,0.237908
Sensor1,bom,235858,236097,0.238431
Sensor1,bom,237.07,237309,0.238863
Sensor1,bom,238284,238524,0.24064
Sensor1,bom,239496,239734,0.237344
Sensor1,bom,240705,240945,0.239583
Sensor1,bom,241.92,242158,0.238703
Sensor1,bom,243133,243374,0.240978
Sensor1,bom,244349,244.59,0.241679
Sensor1,bom,245569,245807,0.238599
Sensor1,bom,246781,247022,0.240722
Sensor1,bom,248,248238,0.238111
Sensor1,bom,249.21,249449,0.238576
Sensor1,bom,250422,250662,0.239807
Sensor1,bom,251637,251876,0.239297
Sensor1,bom,252.85,253089,0.238956
Sensor1,bom,254065,254304,0.238588
Sensor1,bom,255.28,255518,0.238187
Sensor1,bom,256496,256736,0.239182
Sensor1,bom,257708,257948,0.239321
Sensor1,bom,258923,259163,0.239538
Sensor1,bom,260138,260376,0.237977
Sensor1,bom,261351,261591,0.240291
Sensor1,bom,262567,262807,0.239659
Sensor1,bom,263778,264016,0.237523
Sensor1,bom,264989,265229,0.239734
Sensor1,bom,266203,266442,0.239264
Sensor1,bom,267415,267655,0.240187
Sensor1,bom,268627,268866,0.238821
Sensor1,bom,269841,270081,0.240346
Sensor1,bom,271057,271298,0.241041
Sensor1,bom,272272,272513,0.240936
Sensor1,bom,273485,273724,0.238322
Sensor1,bom,274697,274937,0.239697
Sensor1,bom,275.91,276149,0.239258
Sensor1,bom,277123,277361,0.238347
Sensor1,bom,278333,278573,0.239871
Sensor1,bom,279.55,279791,0.240077
