Tref:,1514236968,0.359885,=B1+C1

Sensor Sender ID, Patient Health Status, Detected Emergency?, T bodyhub.processed (s), T sensornode.collected (s), delta (s)
2,bad,true,15.4417,15.3584,0.0832528
0,bad,true,16.5417,16.4468,0.0948405
3,bad,true,20.0418,19.9644,0.0774371
4,bad,true,24.2415,24.1707,0.0708453
2,bad,false,26.0427,25.9595,0.0831871
0,bad,false,27.4417,27.3468,0.094936
1,bad,false,28.4416,28.3526,0.0890091
3,bad,false,31.3415,31.2641,0.077404
4,medium,false,34.7415,34.67,0.0715695
2,bad,true,39.0416,38.9583,0.0832387
1,bad,true,41.9417,41.8526,0.0890835
4,bad,false,47.2417,47.17,0.0717372
2,bad,false,49.5417,49.4584,0.0833316
0,bad,true,49.9417,49.8469,0.0948105
3,bad,false,51.3417,51.2652,0.0764352
1,bad,false,52.4416,52.3527,0.0888925
0,medium,false,60.5417,60.4468,0.0948461
4,medium,false,63.2417,63.1699,0.0718261
2,medium,false,63.5417,63.4584,0.0833515
3,medium,false,64.3417,64.2646,0.0770434
1,medium,false,71.4417,71.3525,0.0892336
0,medium,false,73.5417,73.4469,0.0947797
4,medium,false,77.7415,77.6696,0.0719146
2,bad,true,78.5416,78.4585,0.083176
1,bad,false,84.4416,84.3524,0.0891776
2,medium,false,89.3416,89.2583,0.0832742
0,bad,true,89.5416,89.4469,0.094742
3,bad,true,90.3417,90.2641,0.077529
1,bad,false,99.4417,99.3527,0.0890402
0,bad,false,100.042,99.9469,0.0947649
3,medium,false,100.642,100.564,0.077466
2,medium,false,103.842,103.758,0.0832754
1,medium,false,112.442,112.353,0.0890718
0,good,false,113.542,113.447,0.0948654
4,medium,false,113.742,113.67,0.0716396
3,medium,false,120.642,120.564,0.0775039
2,bad,true,122.842,122.758,0.0832076
4,bad,false,126.742,126.67,0.0716126
0,bad,true,127.542,127.447,0.0948258
3,bad,true,133.642,133.564,0.0774853
2,bad,false,133.742,133.659,0.0822577
1,bad,false,137.442,137.353,0.0889487
0,bad,false,138.142,138.047,0.0948307
3,medium,false,145.342,145.264,0.0773055
2,medium,false,146.742,146.658,0.0831246
4,medium,false,151.742,151.67,0.0718536
0,medium,false,157.142,157.047,0.0949311
1,medium,false,160.442,160.353,0.0891586
4,bad,true,164.242,164.17,0.0720402
2,bad,true,164.742,164.658,0.0834467
0,bad,false,169.642,169.547,0.095007
3,bad,false,170.342,170.264,0.0774192
2,bad,false,175.442,175.358,0.0832482
4,medium,false,176.042,175.97,0.0716371
1,bad,true,180.442,180.353,0.089043
3,bad,false,184.342,184.264,0.0773348
2,bad,false,189.442,189.358,0.0834396
1,medium,false,191.442,191.352,0.0891778
