@relation 'NOTRT-bodyhub_5,10,20_sensores'

@attribute 'Sensor remetente' {Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19}
@attribute ' Estado do Paciente' {bom,medio,ruim}
@attribute ' Enviado as (s)' numeric
@attribute ' Processado as (s)' numeric
@attribute ' Diff (s)' numeric
@attribute 'Numero de Sensores' {five,ten,twenty}
@attribute 'Real-time Mode' {'Real-time OFF'}
@attribute 'Cycle Time Constraint' {SATISFIED,VIOLATED}
@attribute 'Emergency Detection time Constraint' {SATISFIED,VIOLATED}

@data
Sensor0,medio,45.7693,45.9664,0.1971,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,46.2686,46.4692,0.20057,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,46.7698,46967,0.1972,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,47.2667,47.4755,0.2088,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,47.7785,47.9775,0.19904,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,47.8784,48.0801,0.20177,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,47.9871,48.1799,0.19288,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,48.0882,48.2715,0.18327,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,48.1856,48387,0.20143,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,48.28,48.4901,0.21015,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,48.3968,48.5881,0.19132,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,48.5021,48.6884,0.1863,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,48.5948,48785,0.19025,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,48.6959,48.8834,0.18748,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,48.7922,48.9874,0.1952,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,49.2703,49.4709,0.20063,twenty,'Real-time OFF',VIOLATED,SATISFIED
