Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor0,medio,77.1007,77.2897,0.188969
Sensor0,medio,77.6016,77.7945,0.192918
Sensor0,medio,78.0986,78.2903,0.191753
Sensor0,medio,78.5988,78.8056,0.206724
Sensor0,medio,79.1151,79.2982,0.183114
Sensor0,medio,79.6139,79.8087,0.194881
Sensor0,medio,80.0961,80.2934,0.197245
Sensor0,medio,80.6356,80.8549,0.219257
Sensor0,medio,81.2029,81.4103,0.207398
Sensor0,medio,81.6954,81867,0.171551
Sensor0,medio,82.1368,82.2997,0.162946
Sensor0,medio,82.6015,82.7932,0.191652
Sensor0,medio,83.1008,83.2898,0.189009
Sensor0,medio,83.6007,83.7912,0.190562
Sensor0,medio,84.1017,84.2874,0.185694
Sensor0,medio,84.6013,84.7933,0.191997
Sensor0,medio,85.1463,85325,0.178654
Sensor0,medio,85.6171,85.8045,0.187368
Sensor0,medio,86.1053,86.2962,0.190902
Sensor0,medio,86.6037,86.7984,0.194662
Sensor0,medio,87.11,87.2975,0.187504
Sensor0,medio,87.6353,87841,0.20572
Sensor0,medio,88.1641,88.3603,0.196113
Sensor0,medio,88.6675,88.8643,0.196787
Sensor0,medio,89.1845,89.3795,0.195015
Sensor0,medio,89.7461,89.9845,0.238388
Sensor0,medio,90.3581,90.5873,0.229147
Sensor0,medio,90.8881,91.0739,0.185782
Sensor0,medio,91.3663,91.5456,0.179324
Sensor0,medio,91.8397,92022,0.182343
Sensor0,medio,92.3137,92.4895,0.175727
Sensor0,medio,92.7765,92.9624,0.185864
Sensor0,medio,93.3086,93.5031,0.194572
Sensor0,medio,93.8193,94.0179,0.19859
Sensor0,medio,94.3382,94.5325,0.194348
Sensor0,medio,94.8489,95.0504,0.201504
Sensor0,medio,95.3636,95.5594,0.195794
Sensor0,medio,95.8947,96.1124,0.217719
Sensor0,medio,96479,96.7044,0.225374
Sensor0,medio,97.1051,97.3598,0.254682
Sensor0,medio,97.6903,97.8857,0.195412
Sensor0,medio,98.1957,98.3958,0.200164
Sensor0,medio,98.7183,98.9103,0.19195
Sensor0,medio,99.2192,99.4185,0.199317
Sensor0,medio,99.7374,99.9336,0.19624
Sensor0,medio,100.25,100447,0.197094
Sensor0,medio,100775,100993,0.218594
Sensor0,medio,101335,101547,0.211632
Sensor0,medio,101909,102129,0.219974
Sensor0,medio,102483,102699,0.216144
Sensor0,medio,103055,103268,0.2125
Sensor0,medio,103619,103835,0.21596
Sensor0,medio,104182,104401,0.21815
Sensor0,medio,104.79,105032,0.24178
Sensor0,medio,105424,105692,0.268057
Sensor0,medio,106118,106382,0.264046
Sensor0,medio,106737,106951,0.213612
Sensor0,medio,107298,107506,0.207421
Sensor0,medio,107847,108058,0.210962
Sensor0,medio,108395,108605,0.210333
Sensor0,medio,108948,109158,0.21028
Sensor0,medio,109501,109712,0.211397
Sensor0,medio,110055,110265,0.209177
Sensor0,medio,110608,110.82,0.212382
Sensor0,medio,111218,111433,0.215099
Sensor0,medio,111797,112024,0.226804
Sensor0,medio,112392,112613,0.22135
Sensor0,medio,112975,113208,0.23296
Sensor0,medio,113611,113856,0.24485
Sensor0,ruim,114288,114577,0.288539
Sensor0,ruim,115015,115243,0.227164
Sensor0,ruim,115609,115.84,0.231423
Sensor0,medio,116213,116442,0.229106
Sensor0,medio,116803,117024,0.220934
Sensor0,medio,117395,117613,0.218129
Sensor0,medio,117979,118205,0.225404
Sensor0,medio,118574,118799,0.22424
Sensor0,medio,119186,119431,0.244812
Sensor0,medio,119.83,120067,0.237356
Sensor0,medio,120453,120701,0.248003
Sensor0,medio,121095,121334,0.239063
Sensor0,medio,121728,121972,0.243994
Sensor0,medio,122363,122605,0.242429
Sensor0,medio,122998,123237,0.239192
Sensor0,medio,123627,123889,0.261819
Sensor0,medio,124345,124614,0.269256
Sensor0,medio,125097,125392,0.294659
Sensor0,medio,125804,126043,0.239128
Sensor0,medio,126437,126678,0.240619
Sensor0,medio,127.07,127312,0.242765
Sensor0,medio,127.71,127952,0.241894
Sensor0,medio,128343,128587,0.243288
Sensor0,medio,128983,129217,0.23332
Sensor0,ruim,129.62,129866,0.246268
Sensor0,ruim,130.26,130509,0.249531
Sensor0,medio,130909,131152,0.243165
Sensor0,medio,131552,131.82,0.268722
Sensor0,medio,132.24,132504,0.264088
Sensor0,medio,132926,133192,0.265911
Sensor0,medio,133609,133868,0.259127
Sensor0,medio,134301,134587,0.286327
Sensor0,medio,135045,135327,0.282241
Sensor0,medio,135754,136029,0.274396
Sensor0,medio,136499,136816,0.317929
Sensor0,ruim,137331,137627,0.296485
Sensor0,ruim,138046,138307,0.261632
Sensor0,ruim,138731,138993,0.262019
Sensor0,ruim,139416,139672,0.256236
Sensor0,ruim,140091,140363,0.271382
Sensor0,ruim,140785,141043,0.258803
Sensor0,ruim,141465,141729,0.264242
Sensor0,ruim,142.15,142422,0.271973
Sensor0,ruim,142863,143163,0.299963
Sensor0,ruim,143611,143881,0.270469
Sensor0,ruim,144329,144611,0.282321
Sensor0,ruim,145058,145373,0.314859
Sensor0,ruim,145866,146204,0.337368
Sensor0,ruim,146739,147015,0.275782
Sensor0,ruim,147462,147737,0.275813
Sensor0,ruim,148178,148453,0.274833
Sensor0,ruim,148.9,149179,0.279059
Sensor0,ruim,149626,149909,0.283031
Sensor0,ruim,150366,150656,0.289964
Sensor0,ruim,151123,151428,0.304374
Sensor0,ruim,151903,152205,0.301441
Sensor0,ruim,152679,152988,0.308586
Sensor0,ruim,153475,153782,0.307184
Sensor0,ruim,154265,154578,0.312939
Sensor0,ruim,155055,155353,0.298136
Sensor0,ruim,155818,156099,0.281395
Sensor0,ruim,156573,156863,0.290238
Sensor0,ruim,157332,157.62,0.288001
Sensor0,ruim,158091,158379,0.288786
Sensor0,ruim,158852,159138,0.285634
Sensor0,ruim,159598,159879,0.281195
Sensor0,ruim,160336,160624,0.287998
Sensor0,ruim,161097,161.38,0.282922
Sensor0,ruim,161844,162.12,0.276393
Sensor0,medio,162588,162867,0.278227
Sensor0,medio,163316,163603,0.286301
Sensor0,medio,164.06,164.34,0.279933
Sensor0,medio,164794,165074,0.280299
Sensor0,medio,165535,165814,0.278449
Sensor0,medio,166262,166537,0.275766
Sensor0,medio,167001,167282,0.281507
Sensor0,medio,167733,168002,0.269078
Sensor0,medio,168463,168743,0.280126
Sensor0,medio,169194,169474,0.279269
Sensor0,medio,169928,170207,0.278956
Sensor0,ruim,170667,170958,0.291631
Sensor0,ruim,171428,171723,0.295241
Sensor0,ruim,172187,172463,0.275859
Sensor0,ruim,172.93,173226,0.296354
Sensor0,ruim,173701,173989,0.288296
Sensor0,ruim,174462,174.75,0.287696
Sensor0,ruim,175218,175505,0.286912
Sensor0,ruim,175976,176261,0.284116
Sensor0,ruim,177.47,177757,0.286984
Sensor0,ruim,178998,179289,0.291234
Sensor0,medio,180501,180783,0.281973
Sensor0,medio,181.99,182273,0.283214
Sensor0,medio,183473,183756,0.283937
Sensor0,medio,184965,185244,0.278984
Sensor0,ruim,186489,186779,0.289694
Sensor0,ruim,188019,188312,0.292623
Sensor0,ruim,189546,189844,0.297729
Sensor0,ruim,191067,191363,0.296917
Sensor0,medio,192.61,192913,0.30265
Sensor0,medio,194135,194431,0.296108
Sensor0,medio,195627,195914,0.287174
Sensor0,medio,197109,197402,0.29251
Sensor0,medio,198578,198869,0.290972
Sensor0,medio,200052,200352,0.300004
Sensor0,ruim,201.56,201859,0.299124
Sensor0,ruim,203071,203365,0.293684
Sensor0,ruim,204.57,204875,0.305399
Sensor0,medio,206111,206407,0.296118
Sensor0,medio,207622,207912,0.289413
Sensor0,medio,209109,209395,0.285851
Sensor0,medio,210587,210866,0.278977
Sensor0,medio,212.06,212342,0.28254
Sensor0,medio,213521,213801,0.279187
Sensor0,medio,214991,215275,0.284411
Sensor0,medio,216464,216751,0.287187
Sensor0,medio,217928,218215,0.2865
Sensor0,medio,219406,219684,0.278103
Sensor0,medio,220861,221148,0.286305
Sensor0,medio,222327,222619,0.291926
Sensor0,medio,223799,224084,0.285232
Sensor0,medio,225273,225561,0.287412
Sensor0,medio,226761,227045,0.283386
Sensor0,medio,228.23,228516,0.28588
Sensor0,medio,229689,229976,0.286886
Sensor0,medio,231157,231449,0.291432
Sensor0,medio,232629,232915,0.285627
Sensor0,medio,233395,233686,0.291701
Sensor0,medio,234122,234408,0.285734
Sensor0,medio,234875,235173,0.297179
Sensor0,medio,235617,235907,0.289951
Sensor0,medio,236368,236663,0.294672
Sensor0,medio,237096,237385,0.288754
Sensor0,medio,237841,238134,0.293197
Sensor0,medio,238563,238853,0.290048
Sensor0,medio,239305,239.59,0.285328
Sensor0,medio,240.02,240308,0.287823
Sensor0,medio,240763,241061,0.298672
Sensor0,medio,241494,241784,0.290564
Sensor0,medio,242242,242535,0.293473
Sensor0,medio,242964,243251,0.287203
Sensor0,medio,243708,243991,0.282318
Sensor0,medio,244424,244716,0.291873
Sensor0,medio,245173,245466,0.293457
Sensor0,medio,245892,246179,0.287203
Sensor0,medio,246637,246.94,0.302675
Sensor0,medio,247371,247651,0.279468
Sensor0,medio,248112,248394,0.28155
Sensor0,medio,248824,249111,0.287112
Sensor0,medio,249574,249.87,0.295777
