Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor0,bom,116273,116368,0.0948674
Sensor0,bom,117273,117369,0.095135
Sensor0,bom,118273,118368,0.0948358
Sensor0,bom,119273,119368,0.0948132
Sensor0,bom,120273,120368,0.0948756
Sensor0,bom,121273,121368,0.0948714
Sensor0,bom,122273,122368,0.0948645
Sensor0,bom,123273,123368,0.0948362
Sensor0,bom,124273,124368,0.0948698
Sensor0,bom,125273,125368,0.0948975
Sensor0,bom,126273,126368,0.0948491
Sensor0,bom,127273,127368,0.0948023
Sensor0,bom,128273,128368,0.0948107
Sensor0,bom,129273,129368,0.0948572
Sensor0,bom,130273,130368,0.0948567
Sensor0,bom,131273,131368,0.0948501
Sensor0,bom,132273,132368,0.0948271
Sensor0,bom,133273,133368,0.0948144
Sensor0,bom,134273,134368,0.0948345
Sensor0,bom,135273,135368,0.0947613
Sensor0,bom,136273,136368,0.0948974
Sensor0,bom,137273,137368,0.0948558
Sensor0,bom,138273,138368,0.0948368
Sensor0,bom,139273,139368,0.0948667
Sensor0,bom,140273,140368,0.0947849
Sensor0,bom,141273,141368,0.0948612
Sensor0,bom,142273,142368,0.0948952
Sensor0,bom,143273,143368,0.0948094
Sensor0,bom,144273,144368,0.0948531
Sensor0,bom,145273,145368,0.0947887
Sensor0,bom,146273,146368,0.0949657
Sensor0,bom,147273,147368,0.0948411
Sensor0,bom,148273,148368,0.0948703
Sensor0,bom,149273,149368,0.0948891
Sensor0,bom,150273,150368,0.0949565
Sensor0,bom,151273,151368,0.0949454
Sensor0,bom,152273,152368,0.0948906
Sensor0,bom,153273,153368,0.094808
Sensor0,bom,154273,154368,0.0948653
Sensor0,bom,155273,155368,0.0948827
Sensor0,bom,156273,156368,0.0948427
Sensor0,bom,157273,157368,0.0948184
Sensor0,bom,158273,158368,0.0949025
Sensor0,bom,159273,159368,0.0947846
Sensor0,bom,160273,160368,0.0948997
Sensor0,bom,161273,161368,0.0949046
Sensor0,bom,162273,162368,0.0948672
Sensor0,bom,163273,163368,0.094866
Sensor0,bom,164273,164368,0.0949208
Sensor0,bom,165273,165368,0.0948919
Sensor0,bom,166273,166368,0.0948737
Sensor0,bom,167273,167368,0.0948135
Sensor0,bom,168273,168368,0.094918
Sensor0,bom,169273,169368,0.0947639
Sensor0,bom,170273,170368,0.0948352
Sensor0,bom,171273,171368,0.0948056
Sensor0,bom,172273,172368,0.0947815
Sensor0,bom,173273,173368,0.0947923
Sensor0,bom,174273,174368,0.0949496
Sensor0,bom,175273,175368,0.0949157
Sensor0,bom,176273,176368,0.09497
Sensor0,bom,177273,177368,0.0949744
Sensor0,bom,178273,178368,0.094898
Sensor0,bom,179273,179368,0.094976
Sensor0,bom,180273,180368,0.0949301
Sensor0,bom,181273,181368,0.0949305
Sensor0,bom,182273,182368,0.0948602
Sensor0,bom,183273,183368,0.0949731
