Tref:,1514238292,0.987002,=B1+C1

Sensor Sender ID, Patient Health Status, Detected Emergency?, T bodyhub.processed (s), T sensornode.collected (s), delta (s)
0,medium,false,14.8663,14.7655,0.100858
4,bad,true,17.7177,17.6814,0.0362504
2,bad,true,18.0865,17.9169,0.16962
5,bad,true,18.5767,18.5465,0.0301933
1,bad,false,20.5705,20.3319,0.238545
9,bad,true,25.4388,25.4318,0.00699576
0,bad,true,27.6818,27.5621,0.119718
12,bad,true,28.0641,27.9662,0.0979014
7,bad,false,28.0642,28.0441,0.0201032
4,bad,false,28.3155,28.2796,0.0359336
10,bad,true,28.8053,28.6998,0.105455
16,bad,true,28.9305,28.8583,0.0721766
5,bad,false,29.1773,29.1471,0.0301268
2,bad,false,29.3023,29.1294,0.172896
11,bad,true,29.6898,29.5855,0.104302
17,bad,true,29.8187,29.7502,0.0685411
18,bad,true,31.2017,31.1383,0.0633244
19,bad,true,31.9612,31.9078,0.0534094
15,bad,false,32.7127,32.6318,0.0809304
1,bad,true,33.0842,32.8494,0.2348
8,bad,false,33.3343,33.321,0.0133569
13,bad,true,33.4602,33.3701,0.0901462
3,bad,true,35.4675,35.4221,0.0454462
9,bad,false,35.8537,35.8466,0.00706753
6,bad,true,38.205,38.1792,0.025827
0,bad,false,38.3343,38.2107,0.123678
10,bad,false,39.324,39.2164,0.107645
12,bad,false,39.3241,39.2287,0.0954943
14,bad,true,39.4512,39.3662,0.0850221
11,bad,false,40.1941,40.092,0.102145
16,bad,false,40.1943,40.1211,0.0731568
17,bad,false,41.0581,40.9928,0.0652773
18,bad,false,42.4058,42.3463,0.0594382
7,bad,false,43.0226,43.004,0.0185948
19,bad,false,43.1486,43.0939,0.0546965
1,bad,false,43.5182,43.2851,0.233106
13,bad,false,44.3784,44.2905,0.087873
15,bad,true,45.1175,45.0395,0.0779234
3,bad,false,47.2014,47.1596,0.041774
8,bad,false,47.5708,47.558,0.0128914
6,bad,false,48.9185,48.8942,0.0243478
14,bad,false,49.8964,49.8141,0.082338
9,bad,true,51.2382,51.2311,0.00704865
0,bad,false,51.8514,51.7342,0.117186
12,bad,true,56.4935,56.3994,0.0940389
1,bad,true,57.595,57.3616,0.233362
4,bad,true,57.9644,57.9287,0.0357435
13,bad,false,58.4555,58.3669,0.0885749
15,bad,false,58.702,58.6254,0.07661
5,bad,true,58.827,58.7959,0.031126
18,bad,true,59.5631,59.504,0.059123
2,bad,true,60.1813,60.0111,0.170187
19,bad,true,60.3059,60.252,0.0538985
